"","service_point_sn","meter_sn","MinCons_60","date","OpenClose"
"47","3004478784","WS500049A",0,2017-08-01,"Close"
"48","3004478784","WS500049A",1,2017-08-08,"Open"
"49","3004478784","WS500049A",0,2017-08-17,"Close"
"50","3004478784","WS500049A",1,2017-09-02,"Open"
"51","3004478784","WS500049A",0,2017-09-09,"Close"
"52","3004478784","WS500049A",2,2017-09-17,"Open"
"53","3004478784","WS500049A",0,2017-09-23,"Close"
"54","3004478784","WS500049A",1,2017-10-15,"Open"
"55","3004478784","WS500049A",0,2017-10-30,"Close"
"56","3004478784","WS500049A",1,2017-11-11,"Open"
"57","3004478784","WS500049A",0,2017-12-10,"Close"
"58","3004478795","WS500055A",7,2017-05-13,"Open"
"59","3004478795","WS500055A",0,2017-05-16,"Close"
"60","3004478795","WS500055A",1,2018-02-02,"Open"
"61","3004478795","WS500055A",0,2018-02-05,"Close"
"62","3004478795","WS500055A",1,2018-02-11,"Open"
"63","3004478795","WS500055A",0,2018-02-14,"Close"
"64","3004478795","WS500055A",1,2018-02-17,"Open"
"65","3004478795","WS500055A",0,2018-02-20,"Close"
"66","3004478810","WS500061A",9,2016-03-17,"Open"
"67","3004478810","WS500061A",0,2016-05-29,"Close"
"68","3004478810","WS500061A",3,2016-06-02,"Open"
"69","3004478810","WS500061A",0,2016-07-05,"Close"
"70","3004478810","WS500061A",1,2016-07-08,"Open"
"71","3004478810","WS500061A",0,2016-12-10,"Close"
"72","3004478872","WS500085A",1,2016-10-12,"Open"
"73","3004478872","WS500085A",0,2016-10-15,"Close"
"74","3004478892","WS500002A",40,2016-04-14,"Open"
"75","3004478892","WS500002A",0,2016-05-29,"Close"
"76","3004478892","WS500002A",1,2017-08-09,"Open"
"77","3004478892","WS500002A",0,2017-09-30,"Close"
"78","3004478970","WS500026A",2,2016-03-30,"Open"
"79","3004478970","WS500026A",0,2016-04-11,"Close"
"80","3004478970","WS500026A",4,2016-05-15,"Open"
"81","3004478970","WS500026A",0,2016-05-22,"Close"
"82","3004478970","WS500026A",1,2017-05-12,"Open"
"83","3004478970","WS500026A",0,2017-05-23,"Close"
"84","3004478970","WS500026A",1,2017-06-01,"Open"
"85","3004478970","WS500026A",0,2017-06-19,"Close"
"86","3004478988","WS500032A",2,2017-03-05,"Open"
"87","3004478988","WS500032A",0,2017-03-11,"Close"
"88","3004479020","WS500044A",1,2016-12-28,"Open"
"89","3004479020","WS500044A",0,2017-06-14,"Close"
"90","3004479059","WS500056A",1,2017-10-10,"Open"
"91","3004479059","WS500056A",0,2017-10-15,"Close"
"92","3004479059","WS500056A",1,2018-01-17,"Open"
"93","3004479059","WS500056A",0,2018-01-27,"Close"
"94","3004479091","WS500068A",28,2016-03-19,"Open"
"95","3004479091","WS500068A",0,2016-04-23,"Close"
"96","3004479266","WS500027A",52,2016-03-26,"Open"
"97","3004479266","WS500027A",0,2016-06-07,"Close"
"98","3004479278","WS500033A",2,2017-05-04,"Open"
"99","3004479278","WS500033A",0,2017-06-05,"Close"
"100","3004479303","WS500039A",4,2017-10-23,"Open"
"101","3004479303","WS500039A",0,2017-10-27,"Close"
"102","3004479342","WS500051A",2,2016-03-31,"Open"
"103","3004479342","WS500051A",0,2016-04-07,"Close"
"104","3004479342","WS500051A",2,2016-10-04,"Open"
"105","3004479342","WS500051A",0,2017-03-01,"Close"
"106","3004479342","WS500051A",1,2017-03-26,"Open"
"107","3004479342","WS500051A",0,2017-03-29,"Close"
"108","3004479342","WS500051A",1,2017-04-09,"Open"
"109","3004479342","WS500051A",0,2017-04-12,"Close"
"110","3004479342","WS500051A",2,2017-05-09,"Open"
"111","3004479342","WS500051A",0,2017-11-28,"Close"
"112","3004479481","WS500081A",52,2016-03-18,"Open"
"113","3004479481","WS500081A",0,2016-05-30,"Close"
"114","3004479584","WS500016A",1,2017-05-03,"Open"
"115","3004479584","WS500016A",0,2018-01-07,"Close"
"116","3004479606","WS500022A",1,2016-12-11,"Open"
"117","3004479606","WS500022A",0,2016-12-19,"Close"
"118","3004479661","WS500034A",36,2016-03-17,"Open"
"119","3004479661","WS500034A",0,2016-05-04,"Close"
"120","3004479661","WS500034A",1,2017-01-01,"Open"
"121","3004479661","WS500034A",0,2017-01-05,"Close"
"122","3004479661","WS500034A",2,2017-01-18,"Open"
"123","3004479661","WS500034A",0,2017-03-01,"Close"
"124","3004479661","WS500034A",1,2017-06-24,"Open"
"125","3004479661","WS500034A",0,2017-07-14,"Close"
"126","3004479661","WS500034A",1,2017-12-15,"Open"
"127","3004479661","WS500034A",0,2018-03-05,"Close"
"128","3004479690","WS500040A",7,2016-12-14,"Open"
"129","3004479690","WS500040A",0,2016-12-19,"Close"
"130","3004479690","WS500040A",2,2017-02-12,"Open"
"131","3004479690","WS500040A",0,2017-02-16,"Close"
"132","3004479721","WS500046A",6,2016-03-21,"Open"
"133","3004479721","WS500046A",0,2016-03-28,"Close"
"134","3004479721","WS500046A",1,2016-04-01,"Open"
"135","3004479721","WS500046A",0,2017-02-19,"Close"
"136","3004479870","WS500011A",4,2016-11-23,"Open"
"137","3004479870","WS500011A",0,2016-11-27,"Close"
"138","3004479870","WS500011A",1,2016-12-23,"Open"
"139","3004479870","WS500011A",0,2017-01-05,"Close"
"140","3004479870","WS500011A",2,2017-03-04,"Open"
"141","3004479870","WS500011A",0,2017-04-22,"Close"
"142","3004479870","WS500011A",1,2017-06-09,"Open"
"143","3004479870","WS500011A",0,2017-09-07,"Close"
"144","3004479927","WS500035A",1,2016-11-05,"Open"
"145","3004479927","WS500035A",0,2016-11-14,"Close"
"146","3004479927","WS500035A",1,2016-12-10,"Open"
"147","3004479927","WS500035A",0,2016-12-18,"Close"
"148","3004479927","WS500035A",4,2017-01-01,"Open"
"149","3004479927","WS500035A",0,2017-01-07,"Close"
"150","3004479927","WS500035A",2,2017-02-09,"Open"
"151","3004479927","WS500035A",0,2017-02-15,"Close"
"152","3004479927","WS500035A",3,2017-03-05,"Open"
"153","3004479927","WS500035A",0,2017-03-23,"Close"
"154","3004479927","WS500035A",1,2017-03-27,"Open"
"155","3004479927","WS500035A",0,2017-04-01,"Close"
"156","3004479927","WS500035A",2,2017-04-05,"Open"
"157","3004479927","WS500035A",0,2017-04-12,"Close"
"158","3004479927","WS500035A",1,2017-06-20,"Open"
"159","3004479927","WS500035A",0,2017-07-13,"Close"
"160","3004479975","WS500047A",4,2016-08-27,"Open"
"161","3004479975","WS500047A",0,2016-10-15,"Close"
"162","3004479975","WS500047A",2,2016-11-01,"Open"
"163","3004479975","WS500047A",0,2016-12-13,"Close"
"164","3004480136","WS500012A",1,2017-03-21,"Open"
"165","3004480136","WS500012A",0,2017-03-26,"Close"
"166","3004480168","WS500018A",1,2016-04-01,"Open"
"167","3004480168","WS500018A",0,2016-07-04,"Close"
"168","3004480243","WS500042A",1,2017-02-16,"Open"
"169","3004480243","WS500042A",0,2017-02-23,"Close"
"170","3004480243","WS500042A",1,2017-03-02,"Open"
"171","3004480243","WS500042A",0,2017-06-01,"Close"
"172","3004480369","WS500078A",2,2017-05-29,"Open"
"173","3004480369","WS500078A",0,2017-07-28,"Close"
"174","3004480381","WS500084A",3,2016-06-03,"Open"
"175","3004480381","WS500084A",0,2016-07-17,"Close"
"176","3004480381","WS500084A",2,2017-06-05,"Open"
"177","3004480381","WS500084A",0,2017-07-22,"Close"
"178","3004480381","WS500084A",1,2017-09-07,"Open"
"179","3004520724","WS500110A",27,2016-03-19,"Open"
"180","3004520724","WS500110A",0,2016-04-29,"Close"
"181","3004520880","WS500152A",12,2016-03-24,"Open"
"182","3004520880","WS500152A",0,2016-03-27,"Close"
"183","3004520880","WS500152A",9,2018-01-28,"Open"
"184","3004520880","WS500152A",0,2018-01-31,"Close"
"185","3004520880","WS500152A",11,2018-02-03,"Open"
"186","3004520880","WS500152A",0,2018-02-06,"Close"
"187","3004520911","WS500164A",1,2016-03-17,"Open"
"188","3004520911","WS500164A",0,2016-06-24,"Close"
"189","3004520911","WS500164A",1,2016-07-06,"Open"
"190","3004520911","WS500164A",0,2016-07-24,"Close"
"191","3004520911","WS500164A",1,2016-07-30,"Open"
"192","3004520911","WS500164A",0,2016-10-24,"Close"
"193","3004520911","WS500164A",1,2016-11-14,"Open"
"194","3004520911","WS500164A",0,2016-11-19,"Close"
"195","3004520911","WS500164A",1,2016-12-05,"Open"
"196","3004520911","WS500164A",0,2016-12-08,"Close"
"197","3004520911","WS500164A",1,2016-12-12,"Open"
"198","3004520911","WS500164A",0,2017-02-17,"Close"
"199","3004520911","WS500164A",1,2017-02-20,"Open"
"200","3004520911","WS500164A",0,2017-02-23,"Close"
"201","3004520911","WS500164A",2,2017-03-25,"Open"
"202","3004520911","WS500164A",0,2017-04-01,"Close"
"203","3004520911","WS500164A",1,2017-05-22,"Open"
"204","3004520911","WS500164A",0,2017-05-26,"Close"
"205","3004520911","WS500164A",1,2017-06-04,"Open"
"206","3004520911","WS500164A",0,2017-10-12,"Close"
"207","3004520911","WS500164A",2,2017-10-20,"Open"
"208","3004520911","WS500164A",0,2017-10-27,"Close"
"209","3004520911","WS500164A",2,2017-11-09,"Open"
"210","3004520911","WS500164A",0,2017-11-25,"Close"
"211","3004520911","WS500164A",19,2017-12-20,"Open"
"212","3004520911","WS500164A",0,2018-02-17,"Close"
"213","3004520929","WS500170A",1,2016-07-17,"Open"
"214","3004520929","WS500170A",0,2016-07-20,"Close"
"215","3004520967","WS500091A",1,2017-01-15,"Open"
"216","3004520967","WS500091A",0,2017-01-18,"Close"
"217","3004520967","WS500091A",1,2017-01-24,"Open"
"218","3004520967","WS500091A",0,2017-03-03,"Close"
"219","3004520967","WS500091A",1,2017-03-28,"Open"
"220","3004520967","WS500091A",0,2017-04-21,"Close"
"221","3004520967","WS500091A",1,2017-07-13,"Open"
"222","3004520967","WS500091A",0,2017-07-25,"Close"
"223","3004520967","WS500091A",3,2017-09-01,"Open"
"224","3004520967","WS500091A",0,2017-09-07,"Close"
"225","3004520967","WS500091A",1,2017-11-04,"Open"
"226","3004520967","WS500091A",0,2017-11-09,"Close"
"227","3004520967","WS500091A",1,2017-12-07,"Open"
"228","3004520967","WS500091A",0,2017-12-15,"Close"
"229","3004520967","WS500091A",1,2018-01-15,"Open"
"230","3004520967","WS500091A",0,2018-01-18,"Close"
"231","3004520967","WS500091A",1,2018-01-23,"Open"
"232","3004520967","WS500091A",0,2018-02-03,"Close"
"233","3004521017","WS500099A",56,2016-03-22,"Open"
"234","3004521017","WS500099A",0,2016-04-22,"Close"
"235","3004521048","WS500111A",3,2016-11-19,"Open"
"236","3004521048","WS500111A",0,2016-11-25,"Close"
"237","3004521048","WS500111A",1,2017-02-04,"Open"
"238","3004521048","WS500111A",0,2017-03-23,"Close"
"239","3004521048","WS500111A",1,2017-09-21,"Open"
"240","3004521048","WS500111A",0,2017-10-02,"Close"
"241","3004521048","WS500111A",3,2017-10-20,"Open"
"242","3004521048","WS500111A",0,2017-10-29,"Close"
"243","3004521048","WS500111A",7,2017-12-02,"Open"
"244","3004521048","WS500111A",0,2017-12-06,"Close"
"245","3004521061","WS500117A",1,2016-04-09,"Open"
"246","3004521061","WS500117A",0,2016-05-24,"Close"
"247","3004521061","WS500117A",2,2016-08-26,"Open"
"248","3004521061","WS500117A",0,2016-09-17,"Close"
"249","3004521061","WS500117A",1,2017-04-02,"Open"
"250","3004521061","WS500117A",0,2017-04-05,"Close"
"251","3004521061","WS500117A",1,2017-04-26,"Open"
"252","3004521061","WS500117A",0,2017-05-05,"Close"
"253","3004521085","WS500123A",2,2016-04-01,"Open"
"254","3004521085","WS500123A",0,2016-04-15,"Close"
"255","3004521085","WS500123A",2,2016-04-26,"Open"
"256","3004521085","WS500123A",0,2016-05-16,"Close"
"257","3004521085","WS500123A",4,2017-01-06,"Open"
"258","3004521085","WS500123A",0,2017-01-10,"Close"
"259","3004521085","WS500123A",2,2017-09-26,"Open"
"260","3004521085","WS500123A",0,2017-11-03,"Close"
"261","3004521085","WS500123A",9,2017-12-22,"Open"
"262","3004521109","WS500135A",2,2016-04-11,"Open"
"263","3004521109","WS500135A",0,2016-06-26,"Close"
"264","3004521109","WS500135A",5,2016-09-10,"Open"
"265","3004521109","WS500135A",0,2016-09-17,"Close"
"266","3004521109","WS500135A",1,2016-11-01,"Open"
"267","3004521109","WS500135A",0,2017-02-25,"Close"
"268","3004521109","WS500135A",2,2017-09-07,"Open"
"269","3004521109","WS500135A",0,2017-11-28,"Close"
"270","3004521137","WS500147A",1,2017-04-25,"Open"
"271","3004521137","WS500147A",0,2017-04-30,"Close"
"272","3004521137","WS500147A",3,2017-08-16,"Open"
"273","3004521137","WS500147A",0,2017-08-27,"Close"
"274","3004521153","WS500153A",5,2017-02-26,"Open"
"275","3004521153","WS500153A",0,2017-03-01,"Close"
"276","3004521172","WS500159A",10,2016-03-17,"Open"
"277","3004521172","WS500159A",0,2016-04-22,"Close"
"278","3004521189","WS500165A",6,2016-03-17,"Open"
"279","3004521189","WS500165A",0,2016-04-03,"Close"
"280","3004521189","WS500165A",1,2016-05-08,"Open"
"281","3004521189","WS500165A",0,2016-05-20,"Close"
"282","3004521189","WS500165A",1,2016-05-31,"Open"
"283","3004521189","WS500165A",0,2016-09-26,"Close"
"284","3004521189","WS500165A",2,2016-10-12,"Open"
"285","3004521189","WS500165A",0,2017-03-01,"Close"
"286","3004521205","WS500171A",3,2017-06-29,"Open"
"287","3004521205","WS500171A",0,2017-07-02,"Close"
"288","3004521205","WS500171A",2,2017-07-09,"Open"
"289","3004521205","WS500171A",0,2017-07-12,"Close"
"290","3004521205","WS500171A",7,2017-09-30,"Open"
"291","3004521205","WS500171A",0,2017-11-20,"Close"
"292","3004521205","WS500171A",4,2018-01-13,"Open"
"293","3004521205","WS500171A",0,2018-01-16,"Close"
"294","3004521205","WS500171A",1,2018-01-28,"Open"
"295","3004521205","WS500171A",0,2018-02-28,"Close"
"296","3004521205","WS500171A",3,2018-03-11,"Open"
"297","3004521247","WS500096A",1,2017-11-04,"Open"
"298","3004521247","WS500096A",0,2018-01-22,"Close"
"299","3004521276","WS500106A",2,2016-04-25,"Open"
"300","3004521276","WS500106A",0,2016-06-17,"Close"
"301","3004521276","WS500106A",1,2016-07-28,"Open"
"302","3004521276","WS500106A",0,2017-04-15,"Close"
"303","3004521276","WS500106A",5,2017-06-01,"Open"
"304","3004521276","WS500106A",0,2017-06-05,"Close"
"305","3004521276","WS500106A",1,2017-09-14,"Open"
"306","3004521276","WS500106A",0,2017-10-14,"Close"
"307","3004521276","WS500106A",1,2017-11-25,"Open"
"308","3004521276","WS500106A",0,2017-12-07,"Close"
"309","3004521285","WS500112A",5,2016-09-21,"Open"
"310","3004521285","WS500112A",0,2016-10-02,"Close"
"311","3004521285","WS500112A",3,2016-10-11,"Open"
"312","3004521285","WS500112A",0,2016-10-23,"Close"
"313","3004521285","WS500112A",2,2016-11-01,"Open"
"314","3004521285","WS500112A",0,2017-01-27,"Close"
"315","3004521473","WS500166A",9,2016-03-17,"Open"
"316","3004521473","WS500166A",0,2016-05-17,"Close"
"317","3004521473","WS500166A",1,2017-06-05,"Open"
"318","3004521473","WS500166A",0,2017-06-11,"Close"
"319","3004521490","WS500172A",1,2016-10-02,"Open"
"320","3004521490","WS500172A",0,2016-10-08,"Close"
"321","3004521490","WS500172A",14,2018-01-03,"Open"
"322","3004521490","WS500172A",0,2018-01-10,"Close"
"323","3004521507","WS500178A",8,2016-03-19,"Open"
"324","3004521507","WS500178A",0,2016-04-30,"Close"
"325","3004521507","WS500178A",2,2016-06-05,"Open"
"326","3004521507","WS500178A",0,2016-06-11,"Close"
"327","3004521507","WS500178A",2,2016-06-16,"Open"
"328","3004521507","WS500178A",0,2016-06-26,"Close"
"329","3004521507","WS500178A",4,2016-07-10,"Open"
"330","3004521507","WS500178A",0,2016-07-18,"Close"
"331","3004521507","WS500178A",1,2016-07-27,"Open"
"332","3004521507","WS500178A",0,2016-07-30,"Close"
"333","3004521507","WS500178A",1,2016-08-10,"Open"
"334","3004521507","WS500178A",0,2016-10-30,"Close"
"335","3004521518","WS500093A",2,2016-11-23,"Open"
"336","3004521518","WS500093A",0,2016-11-26,"Close"
"337","3004521518","WS500093A",1,2016-11-30,"Open"
"338","3004521518","WS500093A",0,2017-01-05,"Close"
"339","3004521564","WS500101A",16,2016-03-18,"Open"
"340","3004521564","WS500101A",0,2016-04-23,"Close"
"341","3004521613","WS500113A",17,2016-03-13,"Open"
"342","3004521613","WS500113A",0,2017-06-22,"Close"
"343","3004521715","WS500149A",142,2017-03-09,"Open"
"344","3004521715","WS500149A",0,2017-03-16,"Close"
"345","3004521783","WS500179A",1,2016-05-29,"Open"
"346","3004521783","WS500179A",0,2016-06-09,"Close"
"347","3004521783","WS500179A",4,2016-06-29,"Open"
"348","3004521783","WS500179A",0,2016-07-16,"Close"
"349","3004521783","WS500179A",3,2016-07-21,"Open"
"350","3004521783","WS500179A",0,2016-08-04,"Close"
"351","3004521783","WS500179A",4,2016-08-20,"Open"
"352","3004521783","WS500179A",0,2016-08-26,"Close"
"353","3004521783","WS500179A",1,2016-09-26,"Open"
"354","3004521783","WS500179A",0,2016-11-21,"Close"
"355","3004521783","WS500179A",1,2017-05-26,"Open"
"356","3004521783","WS500179A",0,2017-05-29,"Close"
"357","3004521783","WS500179A",1,2017-09-16,"Open"
"358","3004521783","WS500179A",0,2017-10-03,"Close"
"359","3004521783","WS500179A",1,2017-10-12,"Open"
"360","3004521783","WS500179A",0,2017-10-18,"Close"
"361","3004521783","WS500179A",3,2018-01-28,"Open"
"362","3004521783","WS500179A",0,2018-02-07,"Close"
"363","3004521783","WS500179A",3,2018-03-08,"Open"
"364","3004521783","WS500179A",0,2018-03-14,"Close"
"365","3004521803","WS500094A",4,2016-03-17,"Open"
"366","3004521803","WS500094A",0,2017-07-22,"Close"
"367","3004521803","WS500094A",1,2017-09-01,"Open"
"368","3004521824","WS500098A",1,2016-03-20,"Open"
"369","3004521824","WS500098A",0,2017-02-03,"Close"
"370","3004521931","WS500120A",2,2016-10-02,"Open"
"371","3004521931","WS500120A",0,2017-01-04,"Close"
"372","3004521931","WS500120A",2,2017-01-07,"Open"
"373","3004521931","WS500120A",0,2017-02-01,"Close"
"374","3004521931","WS500120A",1,2017-12-11,"Open"
"375","3004521931","WS500120A",0,2017-12-15,"Close"
"376","3004521979","WS500132A",1,2017-02-02,"Open"
"377","3004521979","WS500132A",0,2017-03-03,"Close"
"378","3004521979","WS500132A",1,2017-03-09,"Open"
"379","3004521979","WS500132A",0,2017-03-13,"Close"
"380","3004521979","WS500132A",1,2017-10-04,"Open"
"381","3004521979","WS500132A",0,2018-01-28,"Close"
"382","3004521979","WS500132A",44,2018-02-08,"Open"
"383","3004521979","WS500132A",0,2018-02-25,"Close"
"384","3004522014","WS500144A",46,2017-02-07,"Open"
"385","3004522014","WS500144A",0,2017-02-11,"Close"
"386","3004522058","WS500162A",1,2016-06-03,"Open"
"387","3004522058","WS500162A",0,2016-06-11,"Close"
"388","3004522058","WS500162A",1,2016-06-25,"Open"
"389","3004522058","WS500162A",0,2016-06-30,"Close"
"390","3004522058","WS500162A",3,2016-07-04,"Open"
"391","3004522058","WS500162A",0,2016-07-11,"Close"
"392","3004522058","WS500162A",1,2017-12-30,"Open"
"393","3004522058","WS500162A",0,2018-01-13,"Close"
"394","3004522058","WS500162A",2,2018-01-18,"Open"
"395","3004522058","WS500162A",0,2018-01-27,"Close"
"396","3004522092","WS500168A",3,2016-07-09,"Open"
"397","3004522092","WS500168A",0,2016-07-19,"Close"
"398","3004522092","WS500168A",1,2016-11-14,"Open"
"399","3004522092","WS500168A",0,2016-11-23,"Close"
"400","3004522092","WS500168A",2,2017-01-24,"Open"
"401","3004522092","WS500168A",0,2017-01-27,"Close"
"402","3004522092","WS500168A",3,2017-02-12,"Open"
"403","3004522092","WS500168A",0,2017-02-16,"Close"
"404","3004522092","WS500168A",10,2017-02-26,"Open"
"405","3004522092","WS500168A",0,2017-03-09,"Close"
"406","3004522092","WS500168A",1,2017-03-13,"Open"
"407","3004522092","WS500168A",0,2017-04-10,"Close"
"408","3004522092","WS500168A",1,2017-07-27,"Open"
"409","3004522092","WS500168A",0,2017-07-30,"Close"
"410","3004522092","WS500168A",1,2017-09-10,"Open"
"411","3004522092","WS500168A",0,2017-11-13,"Close"
"412","3004522092","WS500168A",2,2017-12-17,"Open"
"413","3004522092","WS500168A",0,2017-12-22,"Close"
"414","3004522092","WS500168A",1,2018-01-10,"Open"
"415","3004522092","WS500168A",0,2018-02-01,"Close"
"416","3004522092","WS500168A",3,2018-02-19,"Open"
"417","3004522092","WS500168A",0,2018-02-26,"Close"
"418","3004522092","WS500168A",3,2018-03-19,"Open"
"419","3004522137","WS500103A",1,2018-02-14,"Open"
"420","3004522151","WS500109A",1,2017-10-07,"Open"
"421","3004522151","WS500109A",0,2017-10-10,"Close"
"422","3004522151","WS500109A",1,2017-12-14,"Open"
"423","3004522151","WS500109A",0,2018-01-03,"Close"
"424","3004522216","WS500139A",2,2016-06-22,"Open"
"425","3004522216","WS500139A",0,2016-07-03,"Close"
"426","3004522216","WS500139A",5,2016-07-07,"Open"
"427","3004522216","WS500139A",0,2016-07-21,"Close"
"428","3004522229","WS500145A",2,2016-03-17,"Open"
"429","3004522229","WS500145A",0,2016-05-19,"Close"
"430","3004522229","WS500145A",1,2016-06-18,"Open"
"431","3004522229","WS500145A",0,2016-06-28,"Close"
"432","3004522229","WS500145A",7,2016-07-13,"Open"
"433","3004522229","WS500145A",0,2016-07-23,"Close"
"434","3004522256","WS500157A",2,2016-04-06,"Open"
"435","3004522256","WS500157A",0,2016-04-22,"Close"
"436","3004522256","WS500157A",1,2016-09-01,"Open"
"437","3004522256","WS500157A",0,2016-09-17,"Close"
"438","3004522256","WS500157A",1,2016-09-20,"Open"
"439","3004522256","WS500157A",0,2016-10-08,"Close"
"440","3004522256","WS500157A",3,2016-11-02,"Open"
"441","3004522256","WS500157A",0,2016-11-14,"Close"
"442","3004522256","WS500157A",8,2016-12-01,"Open"
"443","3004522256","WS500157A",0,2016-12-27,"Close"
"444","3004522256","WS500157A",6,2017-01-24,"Open"
"445","3004522256","WS500157A",0,2017-02-27,"Close"
"446","3004522256","WS500157A",2,2017-04-04,"Open"
"447","3004522256","WS500157A",0,2017-04-09,"Close"
"448","3004522256","WS500157A",2,2017-05-22,"Open"
"449","3004522256","WS500157A",0,2017-06-03,"Close"
"450","3004522256","WS500157A",3,2017-06-14,"Open"
"451","3004522256","WS500157A",0,2017-06-18,"Close"
"452","3004522256","WS500157A",3,2017-09-10,"Open"
"453","3004522256","WS500157A",0,2017-09-19,"Close"
"454","3004522256","WS500157A",4,2017-10-04,"Open"
"455","3004522256","WS500157A",0,2017-10-19,"Close"
"456","3004522256","WS500157A",1,2017-10-25,"Open"
"457","3004522256","WS500157A",0,2017-12-03,"Close"
"458","3004522256","WS500157A",4,2017-12-06,"Open"
"459","3004522297","WS500175A",1,2016-05-03,"Open"
"460","3004522297","WS500175A",0,2016-06-13,"Close"
"461","3005448467","WS500386A",1,2017-05-04,"Open"
"462","3005448467","WS500386A",0,2017-05-12,"Close"
"463","3005448479","WS500309A",18,2016-09-02,"Open"
"464","3005448479","WS500309A",0,2016-09-24,"Close"
"465","3005448479","WS500309A",3,2016-10-02,"Open"
"466","3005448479","WS500309A",0,2016-10-05,"Close"
"467","3005448483","WS500315A",1,2016-06-02,"Open"
"468","3005448483","WS500315A",0,2016-09-10,"Close"
"469","3005448487","WS500321A",2,2017-02-08,"Open"
"470","3005448487","WS500321A",0,2017-02-24,"Close"
"471","3005448487","WS500321A",2,2017-03-05,"Open"
"472","3005448487","WS500321A",0,2017-03-09,"Close"
"473","3005448487","WS500321A",2,2017-04-04,"Open"
"474","3005448487","WS500321A",0,2017-04-26,"Close"
"475","3005448487","WS500321A",3,2017-06-12,"Open"
"476","3005448487","WS500321A",0,2017-07-28,"Close"
"477","3005448491","WS500327A",3,2017-10-15,"Open"
"478","3005448491","WS500327A",0,2017-10-23,"Close"
"479","3005448491","WS500327A",1,2017-10-26,"Open"
"480","3005448491","WS500327A",0,2017-11-01,"Close"
"481","3005448491","WS500327A",2,2017-11-15,"Open"
"482","3005448491","WS500327A",0,2017-11-20,"Close"
"483","3005448519","WS500369A",2,2016-04-05,"Open"
"484","3005448519","WS500369A",0,2016-04-15,"Close"
"485","3005448539","WS500304A",10,2017-09-27,"Open"
"486","3005448539","WS500304A",0,2017-09-30,"Close"
"487","3005448551","WS500322A",2,2016-12-09,"Open"
"488","3005448551","WS500322A",0,2016-12-12,"Close"
"489","3005448551","WS500322A",1,2016-12-22,"Open"
"490","3005448551","WS500322A",0,2016-12-30,"Close"
"491","3005448551","WS500322A",2,2017-01-05,"Open"
"492","3005448551","WS500322A",0,2017-01-10,"Close"
"493","3005448551","WS500322A",1,2017-01-13,"Open"
"494","3005448551","WS500322A",0,2017-02-01,"Close"
"495","3005448551","WS500322A",2,2017-02-05,"Open"
"496","3005448551","WS500322A",0,2017-02-09,"Close"
"497","3005448551","WS500322A",1,2017-02-22,"Open"
