"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","week","LastDayofWeek","WeeklyConsumption"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_42",2017-10-22,6272
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_43",2017-10-29,5730
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_44",2017-11-05,6343
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_45",2017-11-11,5018
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_31",2017-08-06,5843
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_32",2017-08-13,5676
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_33",2017-08-20,6488
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_34",2017-08-27,5960
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_35",2017-09-03,6079
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_36",2017-09-10,6699
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_37",2017-09-17,7044
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_38",2017-09-24,8051
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_39",2017-10-01,5210
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_40",2017-10-08,5313
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_41",2017-10-15,6100
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_42",2017-10-22,6412
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_43",2017-10-29,5844
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_44",2017-11-05,6285
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","2017_45",2017-11-11,5383
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_31",2017-08-06,3187
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_32",2017-08-13,2842
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_33",2017-08-20,2917
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_34",2017-08-27,3271
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_35",2017-09-03,2460
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_36",2017-09-10,2743
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_37",2017-09-17,2644
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_38",2017-09-24,3169
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_39",2017-10-01,2515
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_40",2017-10-08,2826
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_41",2017-10-15,2532
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_42",2017-10-22,3014
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_43",2017-10-29,3132
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_44",2017-11-05,2771
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","2017_45",2017-11-11,2140
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_31",2017-08-06,2313
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_32",2017-08-13,3064
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_33",2017-08-20,2754
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_34",2017-08-27,2769
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_35",2017-09-03,3139
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_36",2017-09-10,2503
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_37",2017-09-17,3068
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_38",2017-09-24,2506
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_39",2017-10-01,3998
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_40",2017-10-08,3250
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_41",2017-10-15,2996
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_42",2017-10-22,2690
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_43",2017-10-29,2868
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_44",2017-11-05,1979
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","2017_45",2017-11-11,1698
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_31",2017-08-06,5279
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_32",2017-08-13,5900
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_33",2017-08-20,5258
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_34",2017-08-27,5351
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_35",2017-09-03,6545
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_36",2017-09-10,5488
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_37",2017-09-17,4971
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_38",2017-09-24,5004
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_39",2017-10-01,5331
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_40",2017-10-08,5611
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_41",2017-10-15,5400
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_42",2017-10-22,5401
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_43",2017-10-29,5107
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_44",2017-11-05,5166
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","2017_45",2017-11-11,3872
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_31",2017-08-06,3104
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_32",2017-08-13,4461
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_33",2017-08-20,4271
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_34",2017-08-27,4600
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_35",2017-09-03,5203
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_36",2017-09-10,4210
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_37",2017-09-17,3745
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_38",2017-09-24,4430
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_39",2017-10-01,4118
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_40",2017-10-08,4234
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_41",2017-10-15,4875
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_42",2017-10-22,4016
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_43",2017-10-29,4267
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_44",2017-11-05,4977
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","2017_45",2017-11-11,4327
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_31",2017-08-06,2559
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_32",2017-08-13,1952
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_33",2017-08-20,2352
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_34",2017-08-27,2364
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_35",2017-09-03,2456
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_36",2017-09-10,2259
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_37",2017-09-17,1967
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_38",2017-09-24,2257
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_39",2017-10-01,2148
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_40",2017-10-08,2421
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_41",2017-10-15,2927
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_42",2017-10-22,2288
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_43",2017-10-29,2480
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_44",2017-11-05,2180
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","2017_45",2017-11-11,2142
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_31",2017-08-06,2171
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_32",2017-08-13,2734
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_33",2017-08-20,2275
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_34",2017-08-27,2571
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_35",2017-09-03,1639
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_36",2017-09-10,2444
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_37",2017-09-17,2471
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_38",2017-09-24,2403
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_39",2017-10-01,2742
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_40",2017-10-08,2372
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_41",2017-10-15,2769
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_42",2017-10-22,2845
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_43",2017-10-29,2900
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_44",2017-11-05,2448
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","2017_45",2017-11-11,1835
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_31",2017-08-06,1482
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_32",2017-08-13,2303
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_33",2017-08-20,1595
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_34",2017-08-27,1862
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_35",2017-09-03,1673
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_36",2017-09-10,1105
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_37",2017-09-17,1773
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_38",2017-09-24,2486
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_39",2017-10-01,2510
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_40",2017-10-08,2582
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_41",2017-10-15,2463
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_42",2017-10-22,2392
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_43",2017-10-29,2352
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_44",2017-11-05,2512
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","2017_45",2017-11-11,1911
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_31",2017-08-06,5599
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_32",2017-08-13,6079
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_33",2017-08-20,6175
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_34",2017-08-27,6584
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_35",2017-09-03,6353
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_36",2017-09-10,5769
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_37",2017-09-17,5644
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_38",2017-09-24,6331
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_39",2017-10-01,5989
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_40",2017-10-08,4687
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_41",2017-10-15,2802
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_42",2017-10-22,5358
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_43",2017-10-29,4873
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_44",2017-11-05,3973
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","2017_45",2017-11-11,3036
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_31",2017-08-06,95
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_32",2017-08-13,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_33",2017-08-20,1
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_34",2017-08-27,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_35",2017-09-03,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_36",2017-09-10,22
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_37",2017-09-17,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_38",2017-09-24,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_39",2017-10-01,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_40",2017-10-08,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_41",2017-10-15,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_42",2017-10-22,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_43",2017-10-29,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_44",2017-11-05,0
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","2017_45",2017-11-11,0
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_31",2017-08-06,5028
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_32",2017-08-13,6331
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_33",2017-08-20,6190
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_34",2017-08-27,5744
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_35",2017-09-03,6915
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_36",2017-09-10,6628
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_37",2017-09-17,6280
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_38",2017-09-24,6228
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_39",2017-10-01,2547
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_40",2017-10-08,0
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_41",2017-10-15,3176
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_42",2017-10-22,4303
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_43",2017-10-29,3807
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_44",2017-11-05,3906
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","2017_45",2017-11-11,2897
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_31",2017-08-06,4180
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_32",2017-08-13,5392
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_33",2017-08-20,5522
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_34",2017-08-27,4716
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_35",2017-09-03,894
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_36",2017-09-10,61
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_37",2017-09-17,1205
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_38",2017-09-24,37
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_39",2017-10-01,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_40",2017-10-08,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_41",2017-10-15,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_42",2017-10-22,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_43",2017-10-29,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_44",2017-11-05,0
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","2017_45",2017-11-11,23
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_31",2017-08-06,3215
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_32",2017-08-13,5876
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_33",2017-08-20,5867
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_34",2017-08-27,4628
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_35",2017-09-03,5410
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_36",2017-09-10,5444
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_37",2017-09-17,5038
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_38",2017-09-24,5318
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_39",2017-10-01,4872
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_40",2017-10-08,5244
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_41",2017-10-15,4559
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_42",2017-10-22,5962
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_43",2017-10-29,5154
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","2017_44",2017-11-05,6253
