"","id","service_point_sn","meter_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","notification_status","potential_savings"
"115",126,"3004478742","WS500031A","SUB","Punggol",2017-04-19,2017-04-24,6,1.33,"Severe","Close","new",30
"116",127,"3004478742","WS500031A","SUB","Punggol",2017-07-29,2017-08-04,7,2.67,"Severe","Close","new",60
"117",128,"3004478742","WS500031A","SUB","Punggol",2017-08-14,2017-08-24,11,2.33,"Severe","Close","new",52
"118",129,"3004478742","WS500031A","SUB","Punggol",2017-09-03,2017-09-14,12,2.67,"Severe","Close","new",60
"119",130,"3004478742","WS500031A","SUB","Punggol",2017-09-21,2017-09-28,8,4,"Severe","Close","new",90
"120",131,"3004478742","WS500031A","SUB","Punggol",2017-11-07,2017-11-23,17,3.67,"Severe","Close","new",82
"121",132,"3004478742","WS500031A","SUB","Punggol",2017-11-26,2017-12-23,28,1.33,"Severe","Close","new",30
"122",133,"3004478742","WS500031A","SUB","Punggol",2018-01-08,2018-01-15,8,3.33,"Severe","Close","new",75
"123",134,"3004478742","WS500031A","SUB","Punggol",2018-01-18,2018-01-25,8,4.33,"Severe","Close","new",97
"124",135,"3004478742","WS500031A","SUB","Punggol",2018-01-28,2018-02-07,11,19.67,"Critical","Close","new",441
"125",136,"3004478755","WS500037A","SUB","Punggol",2016-03-08,2016-04-26,50,10,"Critical","Close","new",224
"126",137,"3004478755","WS500037A","SUB","Punggol",2016-07-29,2016-09-22,56,2,"Severe","Close","new",45
"127",138,"3004478755","WS500037A","SUB","Punggol",2016-10-17,2016-10-31,15,1.67,"Severe","Close","new",37
"128",139,"3004478755","WS500037A","SUB","Punggol",2016-11-23,2016-11-26,4,2,"Moderate","Close","new",45
"129",85,"3000400157B","AP281070","BYPASS","Tuas",2017-05-08,2018-07-17,436,320,"Critical","Close","sent_sent",7176
"130",541,"3003369523","VR500450","SUB","Yuhua",2018-06-17,2018-06-24,8,1,"Severe","Close","sent_sent",22
"131",542,"3000979395","VR500472","SUB","Yuhua",2018-06-03,2018-06-07,5,2,"Severe","Close","sent_sent",45
"132",543,"3000979395","VR500472","SUB","Yuhua",2018-06-16,2018-07-15,30,3,"Severe","Close","sent_sent",67
"133",544,"3001055600","VR500475","SUB","Yuhua",2018-05-12,2018-05-17,6,1,"Severe","Close","sent_sent",22
"134",545,"3001048273","VR500603","SUB","Yuhua",2018-04-11,2018-07-05,86,3,"Severe","Close","sent_sent",67
"135",76,"3000390874B","AK186280","BYPASS","Tuas",2018-03-01,2018-03-07,7,12,"Critical","Close","sent_sent",269
"136",117,"3001875380B","AK186539","BYPASS","Tuas",2018-02-12,2018-03-10,27,20,"Critical","Close","sent_sent",449
"137",140,"3004478755","WS500037A","SUB","Punggol",2017-04-11,2017-04-18,8,5,"Severe","Close","new",112
"138",141,"3004478755","WS500037A","SUB","Punggol",2017-08-06,2017-08-09,4,1,"Moderate","Close","new",22
"139",142,"3004478755","WS500037A","SUB","Punggol",2017-09-24,2017-09-27,4,1,"Moderate","Close","new",22
"140",143,"3004478784","WS500049A","SUB","Punggol",2016-03-08,2016-04-22,46,43,"Critical","Close","new",964
"141",144,"3004478784","WS500049A","SUB","Punggol",2017-07-07,2017-07-10,4,1,"Moderate","Close","new",22
"142",145,"3004478784","WS500049A","SUB","Punggol",2017-11-13,2017-11-22,10,1.67,"Severe","Close","new",37
"143",146,"3004478784","WS500049A","SUB","Punggol",2017-11-25,2017-12-05,11,2,"Severe","Close","new",45
"144",149,"3004478810","WS500061A","SUB","Punggol",2016-03-10,2016-04-24,46,5.33,"Severe","Close","new",120
"145",150,"3004478810","WS500061A","SUB","Punggol",2016-04-29,2016-05-04,6,1.33,"Severe","Close","new",30
"146",151,"3004478810","WS500061A","SUB","Punggol",2016-06-01,2016-06-29,29,2.33,"Severe","Close","new",52
"147",152,"3004478810","WS500061A","SUB","Punggol",2016-07-12,2016-07-29,18,1.67,"Severe","Close","new",37
"148",153,"3004478810","WS500061A","SUB","Punggol",2016-08-08,2016-08-16,9,2.33,"Severe","Close","new",52
"149",154,"3004478810","WS500061A","SUB","Punggol",2016-08-31,2016-09-10,11,3.67,"Severe","Close","new",82
"150",155,"3004478810","WS500061A","SUB","Punggol",2016-09-25,2016-10-01,7,2.67,"Severe","Close","new",60
"151",156,"3004478810","WS500061A","SUB","Punggol",2016-10-05,2016-10-20,16,4,"Severe","Close","new",90
"152",157,"3004478810","WS500061A","SUB","Punggol",2016-10-24,2016-12-02,40,3.67,"Severe","Close","new",82
"153",158,"3004478872","WS500085A","SUB","Punggol",2016-10-25,2016-10-30,6,1,"Severe","Close","new",22
"154",159,"3004478892","WS500002A","SUB","Punggol",2016-03-14,2016-05-20,68,41.33,"Critical","Close","new",927
"155",160,"3004478970","WS500026A","SUB","Punggol",2016-04-07,2016-04-10,4,4,"Moderate","Close","new",90
"156",161,"3004478970","WS500026A","SUB","Punggol",2016-05-13,2016-05-20,8,5.33,"Severe","Close","new",120
"157",162,"3004479020","WS500044A","SUB","Punggol",2017-02-03,2017-02-06,4,1,"Moderate","Close","new",22
"158",163,"3004479020","WS500044A","SUB","Punggol",2017-03-14,2017-05-20,68,2.67,"Severe","Close","new",60
"159",164,"3004479091","WS500068A","SUB","Punggol",2016-03-09,2016-04-20,43,14.67,"Critical","Close","new",329
"160",166,"3004479207","WS500015A","SUB","Punggol",2016-03-21,2016-03-25,5,12,"Critical","Close","new",269
"161",167,"3004479207","WS500015A","SUB","Punggol",2016-03-29,2016-04-17,20,12,"Critical","Close","new",269
"162",168,"3004479207","WS500015A","SUB","Punggol",2016-05-08,2016-05-13,6,12,"Critical","Close","new",269
"163",169,"3004479266","WS500027A","SUB","Punggol",2016-03-14,2016-05-02,50,30.67,"Critical","Close","new",688
"164",170,"3004479278","WS500033A","SUB","Punggol",2017-05-02,2017-06-01,31,1,"Severe","Close","new",22
"165",171,"3004479278","WS500033A","SUB","Punggol",2017-06-22,2017-06-28,7,2,"Severe","Close","new",45
"166",172,"3004479303","WS500039A","SUB","Punggol",2017-10-22,2017-10-26,5,4,"Severe","Close","new",90
"167",173,"3004479342","WS500051A","SUB","Punggol",2016-10-16,2016-10-24,9,1.33,"Severe","Close","new",30
"168",174,"3004479342","WS500051A","SUB","Punggol",2016-11-07,2016-11-10,4,1.33,"Moderate","Close","new",30
"169",175,"3004479342","WS500051A","SUB","Punggol",2016-11-14,2016-11-19,6,1.33,"Severe","Close","new",30
"170",176,"3004479342","WS500051A","SUB","Punggol",2016-12-01,2017-02-25,87,2,"Severe","Close","new",45
"171",177,"3004479342","WS500051A","SUB","Punggol",2017-05-07,2017-05-10,4,1,"Moderate","Close","new",22
"172",178,"3004479342","WS500051A","SUB","Punggol",2017-05-13,2017-05-16,4,1,"Moderate","Close","new",22
"173",179,"3004479342","WS500051A","SUB","Punggol",2017-06-14,2017-06-18,5,1,"Severe","Close","new",22
"174",180,"3004479342","WS500051A","SUB","Punggol",2017-06-21,2017-06-29,9,1,"Severe","Close","new",22
"175",181,"3004479342","WS500051A","SUB","Punggol",2017-09-04,2017-09-11,8,1,"Severe","Close","new",22
"176",182,"3004479342","WS500051A","SUB","Punggol",2017-09-17,2017-10-17,31,1,"Severe","Close","new",22
"177",183,"3004479342","WS500051A","SUB","Punggol",2017-10-25,2017-11-26,33,1.33,"Severe","Close","new",30
"178",184,"3004479481","WS500081A","SUB","Punggol",2016-03-08,2016-04-21,45,47.33,"Critical","Close","new",1061
"179",185,"3004479584","WS500016A","SUB","Punggol",2017-12-04,2017-12-07,4,1,"Moderate","Close","new",22
"180",187,"3004479661","WS500034A","SUB","Punggol",2016-03-08,2016-05-01,55,29.67,"Critical","Close","new",665
"181",188,"3004479661","WS500034A","SUB","Punggol",2017-01-16,2017-02-27,43,7,"Severe","Close","new",157
"182",189,"3004479661","WS500034A","SUB","Punggol",2017-06-29,2017-07-12,14,2,"Severe","Close","new",45
"183",190,"3004479661","WS500034A","SUB","Punggol",2018-01-10,2018-01-21,12,1,"Severe","Close","new",22
"184",193,"3004479690","WS500040A","SUB","Punggol",2016-12-12,2016-12-17,6,7,"Severe","Close","new",157
"185",194,"3004479690","WS500040A","SUB","Punggol",2017-02-11,2017-02-14,4,1,"Moderate","Close","new",22
"186",195,"3004479721","WS500046A","SUB","Punggol",2016-03-12,2016-03-26,15,5.67,"Severe","Close","new",127
"187",196,"3004479721","WS500046A","SUB","Punggol",2016-04-03,2017-02-12,316,5,"Severe","Close","new",112
"188",197,"3004479816","WS500082A","SUB","Punggol",2017-08-02,2017-08-06,5,1,"Severe","Close","new",22
"189",198,"3004479870","WS500011A","SUB","Punggol",2017-02-26,2017-03-08,11,1,"Severe","Close","new",22
"190",199,"3004479870","WS500011A","SUB","Punggol",2017-06-25,2017-07-24,30,2,"Severe","Close","new",45
"191",200,"3004479870","WS500011A","SUB","Punggol",2017-07-27,2017-09-04,40,2.67,"Severe","Close","new",60
"192",201,"3004479927","WS500035A","SUB","Punggol",2016-12-31,2017-01-05,6,3,"Severe","Close","new",67
"193",202,"3004479927","WS500035A","SUB","Punggol",2017-02-08,2017-02-14,7,1,"Severe","Close","new",22
"194",203,"3004479927","WS500035A","SUB","Punggol",2017-02-18,2017-02-22,5,2,"Severe","Close","new",45
"195",204,"3004479927","WS500035A","SUB","Punggol",2017-03-04,2017-03-13,10,2,"Severe","Close","new",45
"196",205,"3004479927","WS500035A","SUB","Punggol",2017-04-03,2017-04-06,4,1,"Moderate","Close","new",22
"197",206,"3004479927","WS500035A","SUB","Punggol",2017-06-24,2017-06-29,6,1,"Severe","Close","new",22
"198",207,"3004479975","WS500047A","SUB","Punggol",2016-05-26,2016-05-29,4,3.33,"Moderate","Close","new",75
"199",208,"3004479975","WS500047A","SUB","Punggol",2016-08-16,2016-10-14,60,2.67,"Severe","Close","new",60
"200",209,"3004479975","WS500047A","SUB","Punggol",2016-10-28,2016-12-11,45,2,"Severe","Close","new",45
"201",147,"3004478795","WS500055A","SUB","Punggol",2018-06-03,2018-06-06,4,1,"Moderate","Close","sent_sent",22
"202",148,"3004478795","WS500055A","SUB","Punggol",2018-06-16,2018-06-30,15,4,"Severe","Close","sent_sent",90
"203",186,"3004479606","WS500022A","SUB","Punggol",2018-05-06,2018-05-14,9,3.33,"Severe","Close","sent_sent",75
"204",191,"3004479661","WS500034A","SUB","Punggol",2018-01-29,2018-02-25,28,1.33,"Severe","Close","sent_sent",30
"205",210,"3004480078","WS500083A","SUB","Punggol",2017-12-29,2018-01-04,7,2,"Severe","Close","new",45
"206",211,"3004480168","WS500018A","SUB","Punggol",2016-05-21,2016-05-24,4,1,"Moderate","Close","new",22
"207",212,"3004480168","WS500018A","SUB","Punggol",2016-05-27,2016-07-02,37,1.67,"Severe","Close","new",37
"208",213,"3004480243","WS500042A","SUB","Punggol",2017-02-28,2017-05-27,89,1,"Severe","Close","new",22
"209",214,"3004480369","WS500078A","SUB","Punggol",2017-06-12,2017-07-21,40,2.67,"Severe","Close","new",60
"210",215,"3004480369","WS500078A","SUB","Punggol",2017-08-01,2017-08-09,9,1.33,"Severe","Close","new",30
"211",216,"3004480369","WS500078A","SUB","Punggol",2017-08-30,2017-09-04,6,1,"Severe","Close","new",22
"212",217,"3004520724","WS500110A","SUB","Punggol",2016-03-09,2016-04-27,50,30.67,"Critical","Close","new",688
"213",218,"3004520880","WS500152A","SUB","Punggol",2018-01-24,2018-01-29,6,8,"Severe","Close","new",179
"214",219,"3004520880","WS500152A","SUB","Punggol",2018-02-02,2018-02-05,4,10.33,"Severe","Close","new",232
"215",220,"3004520911","WS500164A","SUB","Punggol",2017-12-19,2017-12-31,13,10.33,"Critical","Close","new",232
"216",221,"3004520911","WS500164A","SUB","Punggol",2018-01-06,2018-02-19,45,10.67,"Critical","Close","new",239
"217",222,"3004521017","WS500099A","SUB","Punggol",2016-03-08,2016-04-19,43,37.67,"Critical","Close","new",845
"218",223,"3004521048","WS500111A","SUB","Punggol",2017-02-12,2017-03-01,18,3,"Severe","Close","new",67
"219",224,"3004521048","WS500111A","SUB","Punggol",2017-10-22,2017-10-25,4,1.33,"Moderate","Close","new",30
"220",225,"3004521048","WS500111A","SUB","Punggol",2017-11-30,2017-12-04,5,4.33,"Severe","Close","new",97
"221",226,"3004521061","WS500117A","SUB","Punggol",2016-04-24,2016-05-13,20,1.33,"Severe","Close","new",30
"222",227,"3004521061","WS500117A","SUB","Punggol",2016-08-22,2016-09-11,21,15.33,"Critical","Close","new",344
"223",228,"3004521061","WS500117A","SUB","Punggol",2017-04-23,2017-05-01,9,4,"Severe","Close","new",90
"224",229,"3004521085","WS500123A","SUB","Punggol",2017-01-05,2017-01-08,4,4,"Moderate","Close","new",90
"225",230,"3004521085","WS500123A","SUB","Punggol",2017-09-28,2017-10-13,16,1,"Severe","Close","new",22
"226",234,"3004521109","WS500135A","SUB","Punggol",2016-04-19,2016-06-18,61,8.33,"Severe","Close","new",187
"227",235,"3004521109","WS500135A","SUB","Punggol",2016-09-06,2016-09-14,9,2.67,"Severe","Close","new",60
"228",236,"3004521109","WS500135A","SUB","Punggol",2016-11-17,2017-02-23,99,5,"Severe","Close","new",112
"229",237,"3004521109","WS500135A","SUB","Punggol",2017-09-06,2017-11-26,82,96.67,"Critical","Close","new",2168
"230",238,"3004521137","WS500147A","SUB","Punggol",2017-08-14,2017-08-25,12,3.33,"Severe","Close","new",75
"231",239,"3004521172","WS500159A","SUB","Punggol",2016-03-15,2016-04-21,38,9,"Severe","Close","new",202
"232",240,"3004521189","WS500165A","SUB","Punggol",2016-03-15,2016-03-28,14,4,"Severe","Close","new",90
"233",241,"3004521189","WS500165A","SUB","Punggol",2016-06-10,2016-06-15,6,1.67,"Severe","Close","new",37
"234",242,"3004521189","WS500165A","SUB","Punggol",2016-06-18,2016-06-26,9,1.33,"Severe","Close","new",30
"235",243,"3004521189","WS500165A","SUB","Punggol",2016-07-21,2016-08-12,23,3.33,"Severe","Close","new",75
"236",244,"3004521189","WS500165A","SUB","Punggol",2016-08-15,2016-09-21,38,2,"Severe","Close","new",45
"237",245,"3004521189","WS500165A","SUB","Punggol",2016-10-30,2017-02-27,121,5.33,"Severe","Close","new",120
"238",247,"3004521247","WS500096A","SUB","Punggol",2017-08-23,2017-08-27,5,2.67,"Severe","Close","new",60
"239",248,"3004521276","WS500106A","SUB","Punggol",2016-10-30,2016-11-25,27,2,"Severe","Close","new",45
