"family_id","service_point_sn","meter_sn","block","overconsumption_date","online_status"
2237,"3003503266","VR500873","YH_B5",2018-10-14,"INACTIVE"
462,"3100159511","WS500461A","PG_B5",2018-10-14,"ACTIVE"
488,"3100159655","WS500487A","PG_B5",2018-10-07,"ACTIVE"
2013,"3003371394","VR503181","YH_B2",2018-10-07,"INACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-10-07,"ACTIVE"
1973,"3000838437","VR503141","YH_B2",2018-10-07,"INACTIVE"
2223,"3003506324","VR500859","YH_B5",2018-10-07,"ACTIVE"
1912,"3003289618","VR502822","YH_B1",2018-10-07,"INACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-10-07,"INACTIVE"
2468,"3100159479","WS500398A","PG_B5",2018-10-07,"ACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-10-07,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-10-07,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-10-07,"ACTIVE"
1997,"3003369052","VR503165","YH_B2",2018-10-07,"ACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-10-07,"ACTIVE"
1810,"3004520778","WS500122A","PG_B2",2018-10-07,"ACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-10-07,"INACTIVE"
2225,"3003507537","VR500861","YH_B5",2018-10-07,"INACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-10-07,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-10-07,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-10-07,"INACTIVE"
2443,"3005448647","WS500371A","PG_B4",2018-10-07,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-10-07,"INACTIVE"
2014,"3003365336","VR503182","YH_B2",2018-10-07,"INACTIVE"
2380,"3003307828","VR502031","YH_B6",2018-10-07,"INACTIVE"
102,"3004521852","WS500102A","PG_B2",2018-10-07,"INACTIVE"
235,"3100250154","WS500234A","PG_B3",2018-10-07,"INACTIVE"
414,"3100159487","WS500413A","PG_B5",2018-10-07,"ACTIVE"
371,"3005448583","WS500370A","PG_B4",2018-10-07,"INACTIVE"
371,"3005448583","WS500536A","PG_B4",2018-10-07,"INACTIVE"
1815,"3005448679","WS500324A","PG_B4",2018-10-07,"INACTIVE"
1817,"3004480369","WS500078A","PG_B1",2018-10-07,"INACTIVE"
1975,"3000841346","VR503143","YH_B2",2018-10-07,"ACTIVE"
2233,"3003506940","VR500869","YH_B5",2018-10-07,"INACTIVE"
2116,"3003485775","VR500630","YH_B4",2018-10-07,"INACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-10-07,"INACTIVE"
462,"3100159511","WS500461A","PG_B5",2018-10-07,"ACTIVE"
1790,"3100250070","WS500185A","PG_B3",2018-10-07,"INACTIVE"
2431,"3004522151","WS500109A","PG_B2",2018-10-07,"INACTIVE"
488,"3100159655","WS500487A","PG_B5",2018-09-30,"ACTIVE"
2013,"3003371394","VR503181","YH_B2",2018-09-30,"INACTIVE"
271,"3100249934","WS500270A","PG_B3",2018-09-30,"ACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-09-30,"ACTIVE"
2223,"3003506324","VR500859","YH_B5",2018-09-30,"ACTIVE"
1912,"3003289618","VR502822","YH_B1",2018-09-30,"INACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-09-30,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-09-30,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-09-30,"ACTIVE"
301,"3100250306","WS500300A","PG_B3",2018-09-30,"INACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-09-30,"ACTIVE"
2056,"3003369047","VR500971","YH_B2",2018-09-30,"ACTIVE"
1810,"3004520778","WS500122A","PG_B2",2018-09-30,"ACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-09-30,"INACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-09-30,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-09-30,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-09-30,"INACTIVE"
2065,"3000978135","VR500470","YH_B3",2018-09-30,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-09-30,"INACTIVE"
2014,"3003365336","VR503182","YH_B2",2018-09-30,"INACTIVE"
235,"3100250154","WS500234A","PG_B3",2018-09-30,"INACTIVE"
371,"3005448583","WS500370A","PG_B4",2018-09-30,"INACTIVE"
371,"3005448583","WS500536A","PG_B4",2018-09-30,"INACTIVE"
1852,"3003288200","VR502762","YH_B1",2018-09-30,"ACTIVE"
2099,"3001051695","VR500613","YH_B4",2018-09-30,"INACTIVE"
58,"3004479744","WS500058A","PG_B1",2018-09-30,"INACTIVE"
190,"3100250310","WS500189A","PG_B3",2018-09-30,"INACTIVE"
320,"3005448739","WS500319A","PG_B4",2018-09-30,"ACTIVE"
1902,"3003293273","VR502812","YH_B1",2018-09-30,"INACTIVE"
240,"3100249978","WS500239A","PG_B3",2018-09-30,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-09-30,"INACTIVE"
2320,"3000699676","VR501971","YH_B6",2018-09-30,"INACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-09-30,"INACTIVE"
552,"3005448691","WS500342A","PG_B4",2018-09-30,"INACTIVE"
2436,"3005448487","WS500321A","PG_B4",2018-09-23,"INACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-09-23,"ACTIVE"
1969,"3000856170","VR503137","YH_B2",2018-09-23,"INACTIVE"
2441,"3004478892","WS500002A","PG_B1",2018-09-23,"INACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-09-23,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-09-23,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-09-23,"ACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-09-23,"ACTIVE"
2218,"3003502062","VR500854","YH_B5",2018-09-23,"ACTIVE"
1810,"3004520778","WS500122A","PG_B2",2018-09-23,"ACTIVE"
189,"3100250250","WS500188A","PG_B3",2018-09-23,"ACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-09-23,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-09-23,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-09-23,"INACTIVE"
2345,"3003306026","VR501996","YH_B6",2018-09-23,"INACTIVE"
495,"3100159591","WS500494A","PG_B5",2018-09-23,"INACTIVE"
2447,"3100159967","WS500436A","PG_B5",2018-09-23,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-09-23,"INACTIVE"
2014,"3003365336","VR503182","YH_B2",2018-09-23,"INACTIVE"
2104,"3001059662","VR500618","YH_B4",2018-09-23,"INACTIVE"
1954,"3000839759","VR503122","YH_B2",2018-09-23,"INACTIVE"
2351,"3003304395","VR502002","YH_B6",2018-09-23,"INACTIVE"
2396,"3000726046","VR502156","YH_B7",2018-09-23,"ACTIVE"
262,"3100250346","WS500261A","PG_B3",2018-09-23,"ACTIVE"
65,"3004480042","WS500065A","PG_B1",2018-09-23,"ACTIVE"
371,"3005448583","WS500370A","PG_B4",2018-09-23,"INACTIVE"
371,"3005448583","WS500536A","PG_B4",2018-09-23,"INACTIVE"
485,"3100159991","WS500484A","PG_B5",2018-09-23,"INACTIVE"
1859,"3003286306","VR502769","YH_B1",2018-09-23,"INACTIVE"
1862,"3003292709","VR502772","YH_B1",2018-09-23,"INACTIVE"
58,"3004479744","WS500058A","PG_B1",2018-09-23,"INACTIVE"
26,"3004478970","WS500026A","PG_B1",2018-09-23,"INACTIVE"
2187,"3001100213","VR500823","YH_B5",2018-09-23,"INACTIVE"
320,"3005448739","WS500319A","PG_B4",2018-09-23,"ACTIVE"
10,"3004479571","WS500010A","PG_B1",2018-09-23,"ACTIVE"
1950,"3000834326","VR502035","YH_B2",2018-09-23,"ACTIVE"
1967,"3000855602","VR503135","YH_B2",2018-09-23,"INACTIVE"
2237,"3003503266","VR500873","YH_B5",2018-09-23,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-09-23,"INACTIVE"
2114,"3003484423","VR500628","YH_B4",2018-09-23,"INACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-09-23,"INACTIVE"
2397,"3000726638","VR502157","YH_B7",2018-09-23,"INACTIVE"
253,"3100250282","WS500252A","PG_B3",2018-09-23,"INACTIVE"
552,"3005448691","WS500342A","PG_B4",2018-09-23,"INACTIVE"
1826,"3100159603","WS500518A","PG_B5",2018-09-23,"INACTIVE"
2436,"3005448487","WS500321A","PG_B4",2018-09-16,"INACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-09-16,"ACTIVE"
1969,"3000856170","VR503137","YH_B2",2018-09-16,"INACTIVE"
2376,"3003305368","VR502027","YH_B6",2018-09-16,"INACTIVE"
2441,"3004478892","WS500002A","PG_B1",2018-09-16,"INACTIVE"
1960,"3000848514","VR503128","YH_B2",2018-09-16,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-09-16,"INACTIVE"
2453,"3100159555","WS500422A","PG_B5",2018-09-16,"ACTIVE"
297,"3100250066","WS500296A","PG_B3",2018-09-16,"ACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-09-16,"ACTIVE"
189,"3100250250","WS500188A","PG_B3",2018-09-16,"ACTIVE"
429,"3100159963","WS500428A","PG_B5",2018-09-16,"ACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-09-16,"INACTIVE"
1771,"3004522014","WS500144A","PG_B2",2018-09-16,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-09-16,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-09-16,"INACTIVE"
495,"3100159591","WS500494A","PG_B5",2018-09-16,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-09-16,"INACTIVE"
2014,"3003365336","VR503182","YH_B2",2018-09-16,"INACTIVE"
1954,"3000839759","VR503122","YH_B2",2018-09-16,"INACTIVE"
2380,"3003307828","VR502031","YH_B6",2018-09-16,"INACTIVE"
262,"3100250346","WS500261A","PG_B3",2018-09-16,"ACTIVE"
65,"3004480042","WS500065A","PG_B1",2018-09-16,"ACTIVE"
371,"3005448583","WS500370A","PG_B4",2018-09-16,"INACTIVE"
371,"3005448583","WS500536A","PG_B4",2018-09-16,"INACTIVE"
1764,"3005448775","WS500373A","PG_B4",2018-09-16,"INACTIVE"
26,"3004478970","WS500026A","PG_B1",2018-09-16,"INACTIVE"
259,"3100250166","WS500258A","PG_B3",2018-09-16,"INACTIVE"
2187,"3001100213","VR500823","YH_B5",2018-09-16,"INACTIVE"
320,"3005448739","WS500319A","PG_B4",2018-09-16,"ACTIVE"
2279,"3003506993","VR500915","YH_B5",2018-09-16,"INACTIVE"
2285,"3003506305","VR500921","YH_B5",2018-09-16,"INACTIVE"
1950,"3000834326","VR502035","YH_B2",2018-09-16,"ACTIVE"
459,"3100159843","WS500458A","PG_B5",2018-09-16,"INACTIVE"
1979,"3000847300","VR503147","YH_B2",2018-09-16,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-09-16,"INACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-09-16,"INACTIVE"
253,"3100250282","WS500252A","PG_B3",2018-09-16,"INACTIVE"
552,"3005448691","WS500342A","PG_B4",2018-09-16,"INACTIVE"
1826,"3100159603","WS500518A","PG_B5",2018-09-16,"INACTIVE"
2480,"3100159619","WS500415A","PG_B5",2018-09-09,"INACTIVE"
2473,"3000704470","VR501959","YH_B6",2018-09-09,"ACTIVE"
2476,"3003367784","VR503199","YH_B2",2018-09-09,"INACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-09-09,"ACTIVE"
2441,"3004478892","WS500002A","PG_B1",2018-09-09,"INACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-09-09,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-09-09,"INACTIVE"
297,"3100250066","WS500296A","PG_B3",2018-09-09,"ACTIVE"
1765,"3004521123","WS500141A","PG_B2",2018-09-09,"ACTIVE"
1763,"3004479332","WS500045A","PG_B1",2018-09-09,"ACTIVE"
2212,"3003506399","VR500848","YH_B5",2018-09-09,"INACTIVE"
429,"3100159963","WS500428A","PG_B5",2018-09-09,"ACTIVE"
2054,"3003367291","VR500969","YH_B2",2018-09-09,"INACTIVE"
1771,"3004522014","WS500144A","PG_B2",2018-09-09,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-09-09,"ACTIVE"
2448,"3100159651","WS500479A","PG_B5",2018-09-09,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-09-09,"INACTIVE"
1954,"3000839759","VR503122","YH_B2",2018-09-09,"INACTIVE"
2377,"3003306083","VR502028","YH_B6",2018-09-09,"INACTIVE"
262,"3100250346","WS500261A","PG_B3",2018-09-09,"ACTIVE"
65,"3004480042","WS500065A","PG_B1",2018-09-09,"ACTIVE"
221,"3100250266","WS500220A","PG_B3",2018-09-09,"ACTIVE"
1764,"3005448775","WS500373A","PG_B4",2018-09-09,"INACTIVE"
2099,"3001051695","VR500613","YH_B4",2018-09-09,"INACTIVE"
320,"3005448739","WS500319A","PG_B4",2018-09-09,"ACTIVE"
1937,"3000836671","VR503106","YH_B2",2018-09-09,"INACTIVE"
1942,"3000843793","VR503111","YH_B2",2018-09-09,"ACTIVE"
2279,"3003506993","VR500915","YH_B5",2018-09-09,"INACTIVE"
1950,"3000834326","VR502035","YH_B2",2018-09-09,"ACTIVE"
2331,"3003306654","VR501982","YH_B6",2018-09-09,"INACTIVE"
1998,"3003369593","VR503166","YH_B2",2018-09-09,"ACTIVE"
1979,"3000847300","VR503147","YH_B2",2018-09-09,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-09-09,"INACTIVE"
2414,"3100159515","WS500469A","PG_B5",2018-09-09,"INACTIVE"
323,"3005448551","WS500322A","PG_B4",2018-09-09,"INACTIVE"
552,"3005448691","WS500342A","PG_B4",2018-09-09,"INACTIVE"
1826,"3100159603","WS500518A","PG_B5",2018-09-09,"INACTIVE"
2480,"3100159619","WS500415A","PG_B5",2018-09-02,"INACTIVE"
224,"3100249970","WS500223A","PG_B3",2018-09-02,"ACTIVE"
1872,"3003288280","VR502782","YH_B1",2018-09-02,"ACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-09-02,"ACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-09-02,"INACTIVE"
1984,"3000853539","VR503152","YH_B2",2018-09-02,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-09-02,"INACTIVE"
2245,"3003502635","VR500881","YH_B5",2018-09-02,"INACTIVE"
1842,"3003292116","VR502752","YH_B1",2018-09-02,"INACTIVE"
2363,"3003306695","VR502014","YH_B6",2018-09-02,"INACTIVE"
1771,"3004522014","WS500144A","PG_B2",2018-09-02,"INACTIVE"
547,"3005448715","WS500378A","PG_B4",2018-09-02,"ACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-09-02,"INACTIVE"
262,"3100250346","WS500261A","PG_B3",2018-09-02,"ACTIVE"
2449,"3004478872","WS500085A","PG_B1",2018-09-02,"ACTIVE"
2279,"3003506993","VR500915","YH_B5",2018-09-02,"INACTIVE"
2285,"3003506305","VR500921","YH_B5",2018-09-02,"INACTIVE"
285,"3100250298","WS500284A","PG_B3",2018-09-02,"INACTIVE"
1950,"3000834326","VR502035","YH_B2",2018-09-02,"ACTIVE"
1971,"3000836014","VR503139","YH_B2",2018-09-02,"INACTIVE"
1902,"3003293273","VR502812","YH_B1",2018-09-02,"INACTIVE"
2128,"3003489328","VR500642","YH_B4",2018-09-02,"INACTIVE"
89,"3004480101","WS500089A","PG_B1",2018-09-02,"INACTIVE"
2237,"3003503266","VR500873","YH_B5",2018-09-02,"INACTIVE"
1979,"3000847300","VR503147","YH_B2",2018-09-02,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-09-02,"INACTIVE"
2393,"3000727260","VR502153","YH_B7",2018-09-02,"ACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-09-02,"INACTIVE"
5,"3004479843","WS500005A","PG_B1",2018-09-02,"ACTIVE"
1826,"3100159603","WS500518A","PG_B5",2018-09-02,"INACTIVE"
2471,"3005448567","WS500346A","PG_B4",2018-08-26,"INACTIVE"
2479,"3005448527","WS500381A","PG_B4",2018-08-26,"INACTIVE"
2480,"3100159619","WS500415A","PG_B5",2018-08-26,"INACTIVE"
2436,"3005448487","WS500321A","PG_B4",2018-08-26,"INACTIVE"
393,"3005448471","WS500392A","PG_B4",2018-08-26,"ACTIVE"
2438,"3005448439","WS500344A","PG_B4",2018-08-26,"INACTIVE"
501,"3100159999","WS500500A","PG_B5",2018-08-26,"INACTIVE"
1883,"3003286371","VR502793","YH_B1",2018-08-26,"INACTIVE"
1984,"3000853539","VR503152","YH_B2",2018-08-26,"INACTIVE"
1993,"3003366453","VR503161","YH_B2",2018-08-26,"INACTIVE"
2452,"3004522310","WS500181A","PG_B2",2018-08-26,"INACTIVE"
2134,"3003487456","VR500648","YH_B4",2018-08-26,"INACTIVE"
194,"3100250074","WS500193A","PG_B3",2018-08-26,"INACTIVE"
1840,"3003287625","VR502750","YH_B1",2018-08-26,"INACTIVE"
1763,"3004479332","WS500045A","PG_B1",2018-08-26,"ACTIVE"
357,"3005448447","WS500356A","PG_B4",2018-08-26,"ACTIVE"
198,"3100250314","WS500197A","PG_B3",2018-08-26,"ACTIVE"
429,"3100159963","WS500428A","PG_B5",2018-08-26,"ACTIVE"
2009,"3003369069","VR503177","YH_B2",2018-08-26,"ACTIVE"
2345,"3003306026","VR501996","YH_B6",2018-08-26,"INACTIVE"
2068,"3000980448","VR500473","YH_B3",2018-08-26,"INACTIVE"
2070,"3000977257","VR502873","YH_B3",2018-08-26,"ACTIVE"
262,"3100250346","WS500261A","PG_B3",2018-08-26,"ACTIVE"
65,"3004480042","WS500065A","PG_B1",2018-08-26,"ACTIVE"
18,"3004480168","WS500018A","PG_B1",2018-08-26,"INACTIVE"
2099,"3001051695","VR500613","YH_B4",2018-08-26,"INACTIVE"
190,"3100250310","WS500189A","PG_B3",2018-08-26,"INACTIVE"
2449,"3004478872","WS500085A","PG_B1",2018-08-26,"ACTIVE"
259,"3100250166","WS500258A","PG_B3",2018-08-26,"INACTIVE"
1937,"3000836671","VR503106","YH_B2",2018-08-26,"INACTIVE"
2279,"3003506993","VR500915","YH_B5",2018-08-26,"INACTIVE"
2285,"3003506305","VR500921","YH_B5",2018-08-26,"INACTIVE"
293,"3100250302","WS500292A","PG_B3",2018-08-26,"INACTIVE"
282,"3100250118","WS500281A","PG_B3",2018-08-26,"INACTIVE"
1971,"3000836014","VR503139","YH_B2",2018-08-26,"INACTIVE"
459,"3100159843","WS500458A","PG_B5",2018-08-26,"INACTIVE"
1992,"3003365857","VR503160","YH_B2",2018-08-26,"ACTIVE"
1902,"3003293273","VR502812","YH_B1",2018-08-26,"INACTIVE"
2027,"3003365822","VR503195","YH_B2",2018-08-26,"INACTIVE"
2128,"3003489328","VR500642","YH_B4",2018-08-26,"INACTIVE"
89,"3004480101","WS500089A","PG_B1",2018-08-26,"INACTIVE"
2236,"3003502612","VR500872","YH_B5",2018-08-26,"ACTIVE"
1979,"3000847300","VR503147","YH_B2",2018-08-26,"INACTIVE"
2195,"3001093208","VR500831","YH_B5",2018-08-26,"INACTIVE"
2311,"3000699008","VR501962","YH_B6",2018-08-26,"INACTIVE"
5,"3004479843","WS500005A","PG_B1",2018-08-26,"ACTIVE"
552,"3005448691","WS500342A","PG_B4",2018-08-26,"INACTIVE"
1826,"3100159603","WS500518A","PG_B5",2018-08-26,"INACTIVE"
560,"3100159679","WS500400A","PG_B5",2018-08-26,"ACTIVE"
2407,"3005448735","WS500313A","PG_B4",2018-08-26,"ACTIVE"
2427,"3100159739","WS500520A","PG_B5",2018-08-26,"ACTIVE"
2405,"3004521247","WS500096A","PG_B2",2018-08-26,"INACTIVE"
2471,"3005448567","WS500346A","PG_B4",2018-08-19,"INACTIVE"
2476,"3003367784","VR503199","YH_B2",2018-08-19,"INACTIVE"
2436,"3005448487","WS500321A","PG_B4",2018-08-19,"INACTIVE"
