"","service_point_sn","meter_sn","MinCons_60","date","OpenClose","start_date","end_date"
"142","3004479870","WS500011A",1,2017-06-09,"Open",2017-06-09,1970-01-01
"143","3004479870","WS500011A",0,2017-09-07,"Close",1970-01-01,2017-09-07
"144","3004479927","WS500035A",1,2016-11-05,"Open",2016-11-05,1970-01-01
"145","3004479927","WS500035A",0,2016-11-14,"Close",1970-01-01,2016-11-14
"146","3004479927","WS500035A",1,2016-12-10,"Open",2016-12-10,1970-01-01
"147","3004479927","WS500035A",0,2016-12-18,"Close",1970-01-01,2016-12-18
"148","3004479927","WS500035A",4,2017-01-01,"Open",2017-01-01,1970-01-01
"149","3004479927","WS500035A",0,2017-01-07,"Close",1970-01-01,2017-01-07
"150","3004479927","WS500035A",2,2017-02-09,"Open",2017-02-09,1970-01-01
"151","3004479927","WS500035A",0,2017-02-15,"Close",1970-01-01,2017-02-15
"152","3004479927","WS500035A",3,2017-03-05,"Open",2017-03-05,1970-01-01
"153","3004479927","WS500035A",0,2017-03-23,"Close",1970-01-01,2017-03-23
"154","3004479927","WS500035A",1,2017-03-27,"Open",2017-03-27,1970-01-01
"155","3004479927","WS500035A",0,2017-04-01,"Close",1970-01-01,2017-04-01
"156","3004479927","WS500035A",2,2017-04-05,"Open",2017-04-05,1970-01-01
"157","3004479927","WS500035A",0,2017-04-12,"Close",1970-01-01,2017-04-12
"158","3004479927","WS500035A",1,2017-06-20,"Open",2017-06-20,1970-01-01
"159","3004479927","WS500035A",0,2017-07-13,"Close",1970-01-01,2017-07-13
"160","3004479975","WS500047A",4,2016-08-27,"Open",2016-08-27,1970-01-01
"161","3004479975","WS500047A",0,2016-10-15,"Close",1970-01-01,2016-10-15
"162","3004479975","WS500047A",2,2016-11-01,"Open",2016-11-01,1970-01-01
"163","3004479975","WS500047A",0,2016-12-13,"Close",1970-01-01,2016-12-13
"164","3004480136","WS500012A",1,2017-03-21,"Open",2017-03-21,1970-01-01
"165","3004480136","WS500012A",0,2017-03-26,"Close",1970-01-01,2017-03-26
"166","3004480168","WS500018A",1,2016-04-01,"Open",2016-04-01,1970-01-01
"167","3004480168","WS500018A",0,2016-07-04,"Close",1970-01-01,2016-07-04
"168","3004480243","WS500042A",1,2017-02-16,"Open",2017-02-16,1970-01-01
"169","3004480243","WS500042A",0,2017-02-23,"Close",1970-01-01,2017-02-23
"170","3004480243","WS500042A",1,2017-03-02,"Open",2017-03-02,1970-01-01
"171","3004480243","WS500042A",0,2017-06-01,"Close",1970-01-01,2017-06-01
"172","3004480369","WS500078A",2,2017-05-29,"Open",2017-05-29,1970-01-01
"173","3004480369","WS500078A",0,2017-07-28,"Close",1970-01-01,2017-07-28
"174","3004480381","WS500084A",3,2016-06-03,"Open",2016-06-03,1970-01-01
"175","3004480381","WS500084A",0,2016-07-17,"Close",1970-01-01,2016-07-17
"176","3004480381","WS500084A",2,2017-06-05,"Open",2017-06-05,1970-01-01
"177","3004480381","WS500084A",0,2017-07-22,"Close",1970-01-01,2017-07-22
"178","3004480381","WS500084A",1,2017-09-07,"Open",2017-09-07,1970-01-01
"179","3004520724","WS500110A",27,2016-03-19,"Open",2016-03-19,1970-01-01
"180","3004520724","WS500110A",0,2016-04-29,"Close",1970-01-01,2016-04-29
"181","3004520880","WS500152A",12,2016-03-24,"Open",2016-03-24,1970-01-01
"182","3004520880","WS500152A",0,2016-03-27,"Close",1970-01-01,2016-03-27
"183","3004520880","WS500152A",9,2018-01-28,"Open",2018-01-28,1970-01-01
"184","3004520880","WS500152A",0,2018-01-31,"Close",1970-01-01,2018-01-31
"185","3004520880","WS500152A",11,2018-02-03,"Open",2018-02-03,1970-01-01
"186","3004520880","WS500152A",0,2018-02-06,"Close",1970-01-01,2018-02-06
"187","3004520911","WS500164A",1,2016-03-17,"Open",2016-03-17,1970-01-01
"188","3004520911","WS500164A",0,2016-06-24,"Close",1970-01-01,2016-06-24
"189","3004520911","WS500164A",1,2016-07-06,"Open",2016-07-06,1970-01-01
"190","3004520911","WS500164A",0,2016-07-24,"Close",1970-01-01,2016-07-24
"191","3004520911","WS500164A",1,2016-07-30,"Open",2016-07-30,1970-01-01
"192","3004520911","WS500164A",0,2016-10-24,"Close",1970-01-01,2016-10-24
"193","3004520911","WS500164A",1,2016-11-14,"Open",2016-11-14,1970-01-01
"194","3004520911","WS500164A",0,2016-11-19,"Close",1970-01-01,2016-11-19
"195","3004520911","WS500164A",1,2016-12-05,"Open",2016-12-05,1970-01-01
"196","3004520911","WS500164A",0,2016-12-08,"Close",1970-01-01,2016-12-08
"197","3004520911","WS500164A",1,2016-12-12,"Open",2016-12-12,1970-01-01
"198","3004520911","WS500164A",0,2017-02-17,"Close",1970-01-01,2017-02-17
"199","3004520911","WS500164A",1,2017-02-20,"Open",2017-02-20,1970-01-01
"200","3004520911","WS500164A",0,2017-02-23,"Close",1970-01-01,2017-02-23
"201","3004520911","WS500164A",2,2017-03-25,"Open",2017-03-25,1970-01-01
"202","3004520911","WS500164A",0,2017-04-01,"Close",1970-01-01,2017-04-01
"203","3004520911","WS500164A",1,2017-05-22,"Open",2017-05-22,1970-01-01
"204","3004520911","WS500164A",0,2017-05-26,"Close",1970-01-01,2017-05-26
"205","3004520911","WS500164A",1,2017-06-04,"Open",2017-06-04,1970-01-01
"206","3004520911","WS500164A",0,2017-10-12,"Close",1970-01-01,2017-10-12
"207","3004520911","WS500164A",2,2017-10-20,"Open",2017-10-20,1970-01-01
"208","3004520911","WS500164A",0,2017-10-27,"Close",1970-01-01,2017-10-27
"209","3004520911","WS500164A",2,2017-11-09,"Open",2017-11-09,1970-01-01
"210","3004520911","WS500164A",0,2017-11-25,"Close",1970-01-01,2017-11-25
"211","3004520911","WS500164A",19,2017-12-20,"Open",2017-12-20,1970-01-01
"212","3004520911","WS500164A",0,2018-02-17,"Close",1970-01-01,2018-02-17
"213","3004520929","WS500170A",1,2016-07-17,"Open",2016-07-17,1970-01-01
"214","3004520929","WS500170A",0,2016-07-20,"Close",1970-01-01,2016-07-20
"215","3004520967","WS500091A",1,2017-01-15,"Open",2017-01-15,1970-01-01
"216","3004520967","WS500091A",0,2017-01-18,"Close",1970-01-01,2017-01-18
"217","3004520967","WS500091A",1,2017-01-24,"Open",2017-01-24,1970-01-01
"218","3004520967","WS500091A",0,2017-03-03,"Close",1970-01-01,2017-03-03
"219","3004520967","WS500091A",1,2017-03-28,"Open",2017-03-28,1970-01-01
"220","3004520967","WS500091A",0,2017-04-21,"Close",1970-01-01,2017-04-21
"221","3004520967","WS500091A",1,2017-07-13,"Open",2017-07-13,1970-01-01
"222","3004520967","WS500091A",0,2017-07-25,"Close",1970-01-01,2017-07-25
"223","3004520967","WS500091A",3,2017-09-01,"Open",2017-09-01,1970-01-01
"224","3004520967","WS500091A",0,2017-09-07,"Close",1970-01-01,2017-09-07
"225","3004520967","WS500091A",1,2017-11-04,"Open",2017-11-04,1970-01-01
"226","3004520967","WS500091A",0,2017-11-09,"Close",1970-01-01,2017-11-09
"227","3004520967","WS500091A",1,2017-12-07,"Open",2017-12-07,1970-01-01
"228","3004520967","WS500091A",0,2017-12-15,"Close",1970-01-01,2017-12-15
"229","3004520967","WS500091A",1,2018-01-15,"Open",2018-01-15,1970-01-01
"230","3004520967","WS500091A",0,2018-01-18,"Close",1970-01-01,2018-01-18
"231","3004520967","WS500091A",1,2018-01-23,"Open",2018-01-23,1970-01-01
"232","3004520967","WS500091A",0,2018-02-03,"Close",1970-01-01,2018-02-03
"233","3004521017","WS500099A",56,2016-03-22,"Open",2016-03-22,1970-01-01
"234","3004521017","WS500099A",0,2016-04-22,"Close",1970-01-01,2016-04-22
"235","3004521048","WS500111A",3,2016-11-19,"Open",2016-11-19,1970-01-01
"236","3004521048","WS500111A",0,2016-11-25,"Close",1970-01-01,2016-11-25
"237","3004521048","WS500111A",1,2017-02-04,"Open",2017-02-04,1970-01-01
"238","3004521048","WS500111A",0,2017-03-23,"Close",1970-01-01,2017-03-23
"239","3004521048","WS500111A",1,2017-09-21,"Open",2017-09-21,1970-01-01
"240","3004521048","WS500111A",0,2017-10-02,"Close",1970-01-01,2017-10-02
"241","3004521048","WS500111A",3,2017-10-20,"Open",2017-10-20,1970-01-01
"242","3004521048","WS500111A",0,2017-10-29,"Close",1970-01-01,2017-10-29
"243","3004521048","WS500111A",7,2017-12-02,"Open",2017-12-02,1970-01-01
"244","3004521048","WS500111A",0,2017-12-06,"Close",1970-01-01,2017-12-06
"245","3004521061","WS500117A",1,2016-04-09,"Open",2016-04-09,1970-01-01
"246","3004521061","WS500117A",0,2016-05-24,"Close",1970-01-01,2016-05-24
"247","3004521061","WS500117A",2,2016-08-26,"Open",2016-08-26,1970-01-01
"248","3004521061","WS500117A",0,2016-09-17,"Close",1970-01-01,2016-09-17
"249","3004521061","WS500117A",1,2017-04-02,"Open",2017-04-02,1970-01-01
"250","3004521061","WS500117A",0,2017-04-05,"Close",1970-01-01,2017-04-05
"251","3004521061","WS500117A",1,2017-04-26,"Open",2017-04-26,1970-01-01
"252","3004521061","WS500117A",0,2017-05-05,"Close",1970-01-01,2017-05-05
"253","3004521085","WS500123A",2,2016-04-01,"Open",2016-04-01,1970-01-01
"254","3004521085","WS500123A",0,2016-04-15,"Close",1970-01-01,2016-04-15
"255","3004521085","WS500123A",2,2016-04-26,"Open",2016-04-26,1970-01-01
"256","3004521085","WS500123A",0,2016-05-16,"Close",1970-01-01,2016-05-16
"257","3004521085","WS500123A",4,2017-01-06,"Open",2017-01-06,1970-01-01
"258","3004521085","WS500123A",0,2017-01-10,"Close",1970-01-01,2017-01-10
"259","3004521085","WS500123A",2,2017-09-26,"Open",2017-09-26,1970-01-01
"260","3004521085","WS500123A",0,2017-11-03,"Close",1970-01-01,2017-11-03
"261","3004521085","WS500123A",9,2017-12-22,"Open",2017-12-22,1970-01-01
"262","3004521109","WS500135A",2,2016-04-11,"Open",2016-04-11,1970-01-01
"263","3004521109","WS500135A",0,2016-06-26,"Close",1970-01-01,2016-06-26
"264","3004521109","WS500135A",5,2016-09-10,"Open",2016-09-10,1970-01-01
"265","3004521109","WS500135A",0,2016-09-17,"Close",1970-01-01,2016-09-17
"266","3004521109","WS500135A",1,2016-11-01,"Open",2016-11-01,1970-01-01
"267","3004521109","WS500135A",0,2017-02-25,"Close",1970-01-01,2017-02-25
"268","3004521109","WS500135A",2,2017-09-07,"Open",2017-09-07,1970-01-01
"269","3004521109","WS500135A",0,2017-11-28,"Close",1970-01-01,2017-11-28
"270","3004521137","WS500147A",1,2017-04-25,"Open",2017-04-25,1970-01-01
"271","3004521137","WS500147A",0,2017-04-30,"Close",1970-01-01,2017-04-30
"272","3004521137","WS500147A",3,2017-08-16,"Open",2017-08-16,1970-01-01
"273","3004521137","WS500147A",0,2017-08-27,"Close",1970-01-01,2017-08-27
"274","3004521153","WS500153A",5,2017-02-26,"Open",2017-02-26,1970-01-01
"275","3004521153","WS500153A",0,2017-03-01,"Close",1970-01-01,2017-03-01
"276","3004521172","WS500159A",10,2016-03-17,"Open",2016-03-17,1970-01-01
"277","3004521172","WS500159A",0,2016-04-22,"Close",1970-01-01,2016-04-22
"278","3004521189","WS500165A",6,2016-03-17,"Open",2016-03-17,1970-01-01
"279","3004521189","WS500165A",0,2016-04-03,"Close",1970-01-01,2016-04-03
"280","3004521189","WS500165A",1,2016-05-08,"Open",2016-05-08,1970-01-01
"281","3004521189","WS500165A",0,2016-05-20,"Close",1970-01-01,2016-05-20
"282","3004521189","WS500165A",1,2016-05-31,"Open",2016-05-31,1970-01-01
"283","3004521189","WS500165A",0,2016-09-26,"Close",1970-01-01,2016-09-26
"284","3004521189","WS500165A",2,2016-10-12,"Open",2016-10-12,1970-01-01
"285","3004521189","WS500165A",0,2017-03-01,"Close",1970-01-01,2017-03-01
"286","3004521205","WS500171A",3,2017-06-29,"Open",2017-06-29,1970-01-01
"287","3004521205","WS500171A",0,2017-07-02,"Close",1970-01-01,2017-07-02
"288","3004521205","WS500171A",2,2017-07-09,"Open",2017-07-09,1970-01-01
"289","3004521205","WS500171A",0,2017-07-12,"Close",1970-01-01,2017-07-12
"290","3004521205","WS500171A",7,2017-09-30,"Open",2017-09-30,1970-01-01
"291","3004521205","WS500171A",0,2017-11-20,"Close",1970-01-01,2017-11-20
"292","3004521205","WS500171A",4,2018-01-13,"Open",2018-01-13,1970-01-01
"293","3004521205","WS500171A",0,2018-01-16,"Close",1970-01-01,2018-01-16
"294","3004521205","WS500171A",1,2018-01-28,"Open",2018-01-28,1970-01-01
"295","3004521205","WS500171A",0,2018-02-28,"Close",1970-01-01,2018-02-28
"296","3004521205","WS500171A",3,2018-03-11,"Open",2018-03-11,1970-01-01
"297","3004521247","WS500096A",1,2017-11-04,"Open",2017-11-04,1970-01-01
"298","3004521247","WS500096A",0,2018-01-22,"Close",1970-01-01,2018-01-22
"299","3004521276","WS500106A",2,2016-04-25,"Open",2016-04-25,1970-01-01
"300","3004521276","WS500106A",0,2016-06-17,"Close",1970-01-01,2016-06-17
"301","3004521276","WS500106A",1,2016-07-28,"Open",2016-07-28,1970-01-01
"302","3004521276","WS500106A",0,2017-04-15,"Close",1970-01-01,2017-04-15
"303","3004521276","WS500106A",5,2017-06-01,"Open",2017-06-01,1970-01-01
"304","3004521276","WS500106A",0,2017-06-05,"Close",1970-01-01,2017-06-05
"305","3004521276","WS500106A",1,2017-09-14,"Open",2017-09-14,1970-01-01
"306","3004521276","WS500106A",0,2017-10-14,"Close",1970-01-01,2017-10-14
"307","3004521276","WS500106A",1,2017-11-25,"Open",2017-11-25,1970-01-01
"308","3004521276","WS500106A",0,2017-12-07,"Close",1970-01-01,2017-12-07
"309","3004521285","WS500112A",5,2016-09-21,"Open",2016-09-21,1970-01-01
"310","3004521285","WS500112A",0,2016-10-02,"Close",1970-01-01,2016-10-02
"311","3004521285","WS500112A",3,2016-10-11,"Open",2016-10-11,1970-01-01
"312","3004521285","WS500112A",0,2016-10-23,"Close",1970-01-01,2016-10-23
"313","3004521285","WS500112A",2,2016-11-01,"Open",2016-11-01,1970-01-01
"314","3004521285","WS500112A",0,2017-01-27,"Close",1970-01-01,2017-01-27
"315","3004521473","WS500166A",9,2016-03-17,"Open",2016-03-17,1970-01-01
"316","3004521473","WS500166A",0,2016-05-17,"Close",1970-01-01,2016-05-17
"317","3004521473","WS500166A",1,2017-06-05,"Open",2017-06-05,1970-01-01
"318","3004521473","WS500166A",0,2017-06-11,"Close",1970-01-01,2017-06-11
"319","3004521490","WS500172A",1,2016-10-02,"Open",2016-10-02,1970-01-01
"320","3004521490","WS500172A",0,2016-10-08,"Close",1970-01-01,2016-10-08
"321","3004521490","WS500172A",14,2018-01-03,"Open",2018-01-03,1970-01-01
"322","3004521490","WS500172A",0,2018-01-10,"Close",1970-01-01,2018-01-10
"323","3004521507","WS500178A",8,2016-03-19,"Open",2016-03-19,1970-01-01
"324","3004521507","WS500178A",0,2016-04-30,"Close",1970-01-01,2016-04-30
"325","3004521507","WS500178A",2,2016-06-05,"Open",2016-06-05,1970-01-01
"326","3004521507","WS500178A",0,2016-06-11,"Close",1970-01-01,2016-06-11
"327","3004521507","WS500178A",2,2016-06-16,"Open",2016-06-16,1970-01-01
"328","3004521507","WS500178A",0,2016-06-26,"Close",1970-01-01,2016-06-26
"329","3004521507","WS500178A",4,2016-07-10,"Open",2016-07-10,1970-01-01
"330","3004521507","WS500178A",0,2016-07-18,"Close",1970-01-01,2016-07-18
"331","3004521507","WS500178A",1,2016-07-27,"Open",2016-07-27,1970-01-01
"332","3004521507","WS500178A",0,2016-07-30,"Close",1970-01-01,2016-07-30
"333","3004521507","WS500178A",1,2016-08-10,"Open",2016-08-10,1970-01-01
"334","3004521507","WS500178A",0,2016-10-30,"Close",1970-01-01,2016-10-30
"335","3004521518","WS500093A",2,2016-11-23,"Open",2016-11-23,1970-01-01
"336","3004521518","WS500093A",0,2016-11-26,"Close",1970-01-01,2016-11-26
"337","3004521518","WS500093A",1,2016-11-30,"Open",2016-11-30,1970-01-01
"338","3004521518","WS500093A",0,2017-01-05,"Close",1970-01-01,2017-01-05
"339","3004521564","WS500101A",16,2016-03-18,"Open",2016-03-18,1970-01-01
