"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","floor","month.end","MonthlyConsumption","NetConsumption"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-08-31",17090,"31682"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-09-30",23772,"16827"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-10-31",26156,"82847"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-11-30",20428,"26295"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-12-31",16061,"21198"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-01-31",15964,"20819"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-02-28",15603,"18660"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-03-31",16218,"35205"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-04-30",15643,"16605"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-05-31",15791,"27294"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-06-30",14896,"18710"
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2018-07-31",14794,"23558"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-08-31",18510,"31682"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-09-30",29980,"16827"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-10-31",25665,"82847"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-11-30",28540,"26295"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-12-31",14995,"21198"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-01-31",28190,"20819"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-02-28",22044,"18660"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-03-31",24248,"35205"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-04-30",22839,"16605"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-05-31",23346,"27294"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-06-30",20970,"18710"
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2018-07-31",25171,"23558"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-08-31",8714,"31682"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-09-30",11838,"16827"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-10-31",12561,"82847"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-11-30",11862,"26295"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-12-31",20551,"21198"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-01-31",22958,"20819"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-02-28",18808,"18660"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-03-31",13344,"35205"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-04-30",21054,"16605"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-05-31",23705,"27294"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-06-30",23233,"18710"
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2018-07-31",24822,"23558"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-08-31",8972,"31682"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-09-30",12385,"16827"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-10-31",13355,"82847"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-11-30",10779,"26295"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-12-31",13859,"21198"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-01-31",14679,"20819"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-02-28",14357,"18660"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-03-31",11112,"35205"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-04-30",12576,"16605"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-05-31",13092,"27294"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-06-30",14248,"18710"
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2018-07-31",13176,"23558"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-08-31",16861,"31682"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-09-30",22559,"16827"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-10-31",23888,"82847"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-11-30",23068,"26295"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-12-31",22825,"21198"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-01-31",21336,"20819"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-02-28",19712,"18660"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-03-31",14346,"35205"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-04-30",23185,"16605"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-05-31",23038,"27294"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-06-30",19762,"18710"
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2018-07-31",22070,"23558"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-08-31",13909,"31682"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-09-30",18187,"16827"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-10-31",18871,"82847"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-11-30",24914,"26295"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-12-31",28666,"21198"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-01-31",24549,"20819"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-02-28",23444,"18660"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-03-31",21733,"35205"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-04-30",22860,"16605"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-05-31",23250,"27294"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-06-30",6401,"18710"
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2018-07-31",19055,"23558"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2017-08-31",6870,"31682"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2017-09-30",9558,"16827"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2017-10-31",11085,"82847"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2017-11-30",10135,"26295"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2017-12-31",11499,"21198"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-01-31",11704,"20819"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-02-28",5148,"18660"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-03-31",2154,"35205"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-04-30",10797,"16605"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-05-31",21360,"27294"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-06-30",16790,"18710"
"Punggol","PG_B1","3004478810","008937309238","WS500061A","SUB","Indirect","#12","2018-07-31",19798,"23558"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-08-31",7470,"31682"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-09-30",9661,"16827"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-10-31",12217,"82847"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-11-30",7953,"26295"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-12-31",10528,"21198"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-01-31",11652,"20819"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-02-28",13135,"18660"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-03-31",11278,"35205"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-04-30",10754,"16605"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-05-31",10560,"27294"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-06-30",12512,"18710"
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2018-07-31",10373,"23558"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-08-31",5092,"31682"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-09-30",8350,"16827"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-10-31",10918,"82847"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-11-30",9745,"26295"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-12-31",8537,"21198"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-01-31",8814,"20819"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-02-28",7448,"18660"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-03-31",7103,"35205"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-04-30",7420,"16605"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-05-31",7391,"27294"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-06-30",7154,"18710"
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2018-07-31",7082,"23558"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-08-31",17999,"31682"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-09-30",25767,"16827"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-10-31",20026,"82847"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-11-30",19808,"26295"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-12-31",19737,"21198"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-01-31",16723,"20819"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-02-28",18705,"18660"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-03-31",21012,"35205"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-04-30",19862,"16605"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-05-31",19995,"27294"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-06-30",21958,"18710"
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2018-07-31",17903,"23558"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2017-08-31",1,"31682"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2017-09-30",22,"16827"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2017-10-31",0,"82847"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2017-11-30",857,"26295"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2017-12-31",0,"21198"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-01-31",79,"20819"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-02-28",0,"18660"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-03-31",1890,"35205"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-04-30",702,"16605"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-05-31",8462,"27294"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-06-30",17352,"18710"
"Punggol","PG_B1","3004478872","008937702531","WS500085A","SUB","Indirect","#16","2018-07-31",13579,"23558"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2017-08-31",18726,"8090"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2017-09-30",24627,"22262"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2017-10-31",12499,"11491"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2017-11-30",16346,"11062"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2017-12-31",18220,"47447"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-01-31",18045,"7690"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-02-28",15891,"8221"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-03-31",15855,"9676"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-04-30",3437,"4902"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-05-31",10602,"12224"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-06-30",9901,"10636"
"Punggol","PG_B1","3004478892","008937578279","WS500002A","SUB","Direct","#02","2018-07-31",12445,"25130"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-08-31",13531,"8090"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-09-30",1303,"22262"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-10-31",0,"11491"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-11-30",937,"11062"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-12-31",15366,"47447"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-01-31",36768,"7690"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-02-28",33162,"8221"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-03-31",38662,"9676"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-04-30",37009,"4902"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-05-31",37826,"12224"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-06-30",39859,"10636"
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2018-07-31",39316,"25130"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2017-08-31",15963,"8090"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2017-09-30",22552,"22262"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2017-10-31",22973,"11491"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2017-11-30",22885,"11062"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2017-12-31",22572,"47447"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-01-31",13628,"7690"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-02-28",16082,"8221"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-03-31",25530,"9676"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-04-30",26505,"4902"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-05-31",22778,"12224"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-06-30",21954,"10636"
"Punggol","PG_B1","3004478921","008936843807","WS500014A","SUB","Direct","#04","2018-07-31",24049,"25130"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-08-31",13544,"31682"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-09-30",18985,"16827"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-10-31",19020,"82847"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-11-30",8246,"26295"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-12-31",8379,"21198"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-01-31",15510,"20819"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-02-28",13071,"18660"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-03-31",34691,"35205"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-04-30",21191,"16605"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-05-31",26592,"27294"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-06-30",24016,"18710"
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2018-07-31",24545,"23558"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-08-31",18260,"31682"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-09-30",31124,"16827"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-10-31",30321,"82847"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-11-30",28872,"26295"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-12-31",32333,"21198"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-01-31",29304,"20819"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-02-28",24962,"18660"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-03-31",29007,"35205"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-04-30",30850,"16605"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-05-31",19545,"27294"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-06-30",3275,"18710"
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2018-07-31",0,"23558"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-08-31",3269,"31682"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-09-30",4627,"16827"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-10-31",5157,"82847"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-11-30",4444,"26295"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-12-31",4144,"21198"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-01-31",3417,"20819"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-02-28",4115,"18660"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-03-31",4650,"35205"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-04-30",4530,"16605"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-05-31",5684,"27294"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-06-30",4894,"18710"
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2018-07-31",5097,"23558"
"Punggol","PG_B1","3004478999","008920954040","WS500038A","SUB","Indirect","#08","2017-08-31",8531,"31682"
