id,service_point_sn,meter_sn,meter_type,site,start_date,end_date,duration,min5flow_ave,severity,status,notification_status,potential_savings
30,3000144350B,EP180406,BYPASS,Tuas,28/3/2017,20/4/2017,24,24,Critical,Close,new,538
31,3000144350B,EP180406,BYPASS,Tuas,23/4/2017,1/5/2017,9,20,Critical,Close,new,449
32,3000144350B,EP180406,BYPASS,Tuas,11/5/2017,16/6/2017,37,12,Critical,Close,new,269
33,3000144350B,EP180406,BYPASS,Tuas,21/6/2017,11/8/2017,52,12,Critical,Close,new,269
34,3000144350B,EP180406,BYPASS,Tuas,16/8/2017,21/9/2017,37,24,Critical,Close,new,538
35,3000144350B,EP180406,BYPASS,Tuas,26/9/2017,NA,65,84,Critical,Open,new,1884
36,3000259441B,AP280811,BYPASS,Tuas,3/2/2016,26/7/2016,175,60,Critical,Close,new,1346
37,3000259441B,AP280811,BYPASS,Tuas,11/8/2016,9/8/2017,364,16,Critical,Close,new,359
38,3000259441B,AP280811,BYPASS,Tuas,14/8/2017,NA,108,20,Critical,Open,new,449
39,3000390027B,EP180605B,BYPASS,Tuas,5/6/2016,28/6/2016,24,48,Critical,Close,new,1076
40,3000390027B,EP180605B,BYPASS,Tuas,17/7/2016,11/8/2016,26,24,Critical,Close,new,538
41,3000390027B,EP180605B,BYPASS,Tuas,1/3/2017,18/4/2017,49,12,Critical,Close,new,269
42,3000390837B,AJ186390,BYPASS,Tuas,25/5/2016,28/5/2016,4,16,Severe,Close,new,359
43,3000390837B,AJ186390,BYPASS,Tuas,1/7/2016,13/7/2016,13,12,Critical,Close,new,269
44,3000390837B,AJ186390,BYPASS,Tuas,22/8/2016,25/8/2016,4,12,Severe,Close,new,269
45,3000390837B,AJ186390,BYPASS,Tuas,23/11/2016,30/11/2016,8,48,Critical,Close,new,1076
46,3000390837B,AJ186390,BYPASS,Tuas,30/12/2016,8/1/2017,10,12,Critical,Close,new,269
47,3000390837B,AJ186390,BYPASS,Tuas,1/3/2017,7/3/2017,7,12,Critical,Close,new,269
48,3000390837B,AJ186390,BYPASS,Tuas,14/3/2017,23/3/2017,10,16,Critical,Close,new,359
49,3000390837B,AJ186390,BYPASS,Tuas,6/6/2017,14/6/2017,9,12,Critical,Close,new,269
50,3000390837B,AJ186390,BYPASS,Tuas,8/8/2017,16/8/2017,9,12,Critical,Close,new,269
51,3000390837B,AJ186390,BYPASS,Tuas,5/10/2017,10/11/2017,37,12,Critical,Close,new,269
52,3000390874B,AK186280,BYPASS,Tuas,2/2/2016,18/7/2016,168,136,Critical,Close,new,3050
53,3000390874B,AK186280,BYPASS,Tuas,19/10/2016,10/12/2016,53,36,Critical,Close,new,807
54,3000390874B,AK186280,BYPASS,Tuas,3/2/2017,14/2/2017,12,108,Critical,Close,new,2422
55,3000390874B,AK186280,BYPASS,Tuas,7/4/2017,11/4/2017,5,36,Critical,Close,new,807
56,3000390874B,AK186280,BYPASS,Tuas,4/5/2017,15/5/2017,12,24,Critical,Close,new,538
57,3000390874B,AK186280,BYPASS,Tuas,25/6/2017,3/7/2017,9,208,Critical,Close,new,4665
58,3000390874B,AK186280,BYPASS,Tuas,26/7/2017,29/7/2017,4,36,Severe,Close,new,807
59,3000390874B,AK186280,BYPASS,Tuas,3/8/2017,15/8/2017,13,12,Critical,Close,new,269
60,3000390874B,AK186280,BYPASS,Tuas,2/11/2017,13/11/2017,12,108,Critical,Close,new,2422
61,3000390874B,AK186280,BYPASS,Tuas,17/11/2017,20/11/2017,4,36,Severe,Close,new,807
62,3000390874B,AK186280,BYPASS,Tuas,25/11/2017,NA,5,24,Critical,Open,new,538
63,3000390874M,AK690280,MAIN,Tuas,28/4/2016,10/5/2016,13,680,Critical,Close,new,15249
64,3000391332B,AP280351C,BYPASS,Tuas,14/4/2017,17/4/2017,4,640,Severe,Close,new,14352
65,3000391332B,AP280351C,BYPASS,Tuas,29/4/2017,2/5/2017,4,12,Severe,Close,new,269
66,3000391332B,AP280351C,BYPASS,Tuas,19/5/2017,22/5/2017,4,16,Severe,Close,new,359
67,3000391367B,AK186543,BYPASS,Tuas,24/12/2016,27/12/2016,4,344,Severe,Close,new,7714
68,3000392058B,AP280770,BYPASS,Tuas,8/5/2016,11/5/2016,4,88,Severe,Close,new,1973
69,3000400157B,AP281070,BYPASS,Tuas,6/2/2016,5/5/2017,455,188,Critical,Close,new,4216
70,3000400157B,AP281070,BYPASS,Tuas,8/5/2017,NA,206,308,Critical,Open,new,6907
71,3000402320B,AN280368,BYPASS,Tuas,7/2/2016,4/6/2016,119,28,Critical,Close,new,628
72,3000402320B,AN280368,BYPASS,Tuas,24/6/2016,6/7/2016,13,180,Critical,Close,new,4037
73,3000402320B,AN280368,BYPASS,Tuas,9/7/2016,12/7/2016,4,48,Severe,Close,new,1076
74,3000402320B,AN280368,BYPASS,Tuas,29/7/2016,17/2/2017,204,24,Critical,Close,new,538
75,3000402320B,AN280368,BYPASS,Tuas,25/2/2017,NA,278,716,Critical,Open,new,16057
76,3000403433B,EP180979B,BYPASS,Tuas,8/9/2016,7/10/2016,30,176,Critical,Close,new,3947
77,3000403433B,EP180979B,BYPASS,Tuas,14/1/2017,14/11/2017,305,124,Critical,Close,new,2781
78,3000403433B,EP180979B,BYPASS,Tuas,24/11/2017,NA,6,112,Critical,Open,new,2512
79,3001782237B,AP280943,BYPASS,Tuas,8/2/2016,31/3/2016,53,284,Critical,Close,new,6369
80,3001782237B,AP280943,BYPASS,Tuas,8/4/2016,12/4/2016,5,256,Critical,Close,new,5741
81,3001782237B,AP280943,BYPASS,Tuas,24/4/2016,29/4/2016,6,268,Critical,Close,new,6010
82,3001782237B,AP280943,BYPASS,Tuas,7/5/2016,21/5/2016,15,256,Critical,Close,new,5741
83,3001782237B,AP280943,BYPASS,Tuas,30/5/2016,3/6/2016,5,212,Critical,Close,new,4754
84,3001782237B,AP280943,BYPASS,Tuas,9/6/2016,12/6/2016,4,104,Severe,Close,new,2332
85,3001782237B,AP280943,BYPASS,Tuas,19/6/2016,29/6/2016,11,152,Critical,Close,new,3409
86,3001782237B,AP280943,BYPASS,Tuas,2/7/2016,14/7/2016,13,164,Critical,Close,new,3678
87,3001782237B,AP280943,BYPASS,Tuas,20/7/2016,26/7/2016,7,104,Critical,Close,new,2332
88,3001782237B,AP280943,BYPASS,Tuas,9/8/2016,15/9/2016,38,116,Critical,Close,new,2601
89,3001782237B,AP280943,BYPASS,Tuas,30/9/2016,4/10/2016,5,188,Critical,Close,new,4216
90,3001782237B,AP280943,BYPASS,Tuas,7/10/2016,2/11/2016,27,92,Critical,Close,new,2063
91,3001782237B,AP280943,BYPASS,Tuas,15/11/2016,25/9/2017,315,268,Critical,Close,new,6010
92,3001782237B,AP280943,BYPASS,Tuas,2/10/2017,NA,59,324,Critical,Open,new,7266
93,3001875380B,AK186539,BYPASS,Tuas,3/2/2016,9/4/2017,432,108,Critical,Close,new,2422
94,3001875380B,AK186539,BYPASS,Tuas,13/4/2017,17/4/2017,5,16,Critical,Close,new,359
95,3001875380B,AK186539,BYPASS,Tuas,23/4/2017,27/4/2017,5,12,Critical,Close,new,269
96,3001875380B,AK186539,BYPASS,Tuas,30/4/2017,7/5/2017,8,16,Critical,Close,new,359
97,3001875380B,AK186539,BYPASS,Tuas,25/5/2017,28/5/2017,4,12,Severe,Close,new,269
98,3001875380B,AK186539,BYPASS,Tuas,31/5/2017,NA,183,24,Critical,Open,new,538
99,3001875380M,AK690539,MAIN,Tuas,9/2/2016,12/2/2016,4,1400,Severe,Close,new,31396
100,3004478638,WS500001A,SUB,Punggol,24/10/2017,17/11/2017,25,22.33,Critical,Close,new,501
101,3004478696,WS500019A,SUB,Punggol,8/5/2016,11/5/2016,4,88,Severe,Close,new,1973
102,3004478742,WS500031A,SUB,Punggol,10/3/2016,13/3/2016,4,2,Moderate,Close,new,45
103,3004478742,WS500031A,SUB,Punggol,1/4/2016,14/4/2016,14,2.33,Severe,Close,new,52
104,3004478742,WS500031A,SUB,Punggol,26/4/2016,6/10/2016,164,9,Severe,Close,new,202
105,3004478742,WS500031A,SUB,Punggol,15/3/2017,24/3/2017,10,2.33,Severe,Close,new,52
106,3004478742,WS500031A,SUB,Punggol,19/4/2017,24/4/2017,6,1.33,Severe,Close,new,30
107,3004478742,WS500031A,SUB,Punggol,29/7/2017,4/8/2017,7,2.67,Severe,Close,new,60
108,3004478742,WS500031A,SUB,Punggol,14/8/2017,24/8/2017,11,2.33,Severe,Close,new,52
109,3004478742,WS500031A,SUB,Punggol,3/9/2017,14/9/2017,12,2.67,Severe,Close,new,60
110,3004478742,WS500031A,SUB,Punggol,21/9/2017,28/9/2017,8,4,Severe,Close,new,90
111,3004478742,WS500031A,SUB,Punggol,7/11/2017,23/11/2017,17,3.67,Severe,Close,new,82
112,3004478742,WS500031A,SUB,Punggol,26/11/2017,NA,4,6,Moderate,Open,new,135
113,3004478755,WS500037A,SUB,Punggol,8/3/2016,26/4/2016,50,10,Critical,Close,new,224
114,3004478755,WS500037A,SUB,Punggol,29/7/2016,22/9/2016,56,2,Severe,Close,new,45
115,3004478755,WS500037A,SUB,Punggol,17/10/2016,31/10/2016,15,1.67,Severe,Close,new,37
116,3004478755,WS500037A,SUB,Punggol,23/11/2016,26/11/2016,4,2,Moderate,Close,new,45
117,3004478755,WS500037A,SUB,Punggol,11/4/2017,18/4/2017,8,5,Severe,Close,new,112
118,3004478755,WS500037A,SUB,Punggol,6/8/2017,9/8/2017,4,1,Moderate,Close,new,22
119,3004478755,WS500037A,SUB,Punggol,24/9/2017,27/9/2017,4,1,Moderate,Close,new,22
120,3004478784,WS500049A,SUB,Punggol,8/3/2016,22/4/2016,46,43,Critical,Close,new,964
121,3004478784,WS500049A,SUB,Punggol,7/7/2017,10/7/2017,4,1,Moderate,Close,new,22
122,3004478784,WS500049A,SUB,Punggol,13/11/2017,22/11/2017,10,1.67,Severe,Close,new,37
123,3004478784,WS500049A,SUB,Punggol,25/11/2017,NA,5,1.33,Severe,Open,new,30
124,3004478810,WS500061A,SUB,Punggol,10/3/2016,24/4/2016,46,5.33,Severe,Close,new,120
125,3004478810,WS500061A,SUB,Punggol,29/4/2016,4/5/2016,6,1.33,Severe,Close,new,30
126,3004478810,WS500061A,SUB,Punggol,1/6/2016,29/6/2016,29,2.33,Severe,Close,new,52
127,3004478810,WS500061A,SUB,Punggol,12/7/2016,29/7/2016,18,1.67,Severe,Close,new,37
128,3004478810,WS500061A,SUB,Punggol,8/8/2016,16/8/2016,9,2.33,Severe,Close,new,52
129,3004478810,WS500061A,SUB,Punggol,31/8/2016,10/9/2016,11,3.67,Severe,Close,new,82
130,3004478810,WS500061A,SUB,Punggol,25/9/2016,1/10/2016,7,2.67,Severe,Close,new,60
131,3004478810,WS500061A,SUB,Punggol,5/10/2016,20/10/2016,16,4,Severe,Close,new,90
132,3004478810,WS500061A,SUB,Punggol,24/10/2016,2/12/2016,40,3.67,Severe,Close,new,82
133,3004478872,WS500085A,SUB,Punggol,25/10/2016,30/10/2016,6,1,Severe,Close,new,22
134,3004478892,WS500002A,SUB,Punggol,14/3/2016,20/5/2016,68,41.33,Critical,Close,new,927
135,3004478970,WS500026A,SUB,Punggol,7/4/2016,10/4/2016,4,4,Moderate,Close,new,90
136,3004478970,WS500026A,SUB,Punggol,13/5/2016,20/5/2016,8,5.33,Severe,Close,new,120
137,3004479020,WS500044A,SUB,Punggol,3/2/2017,6/2/2017,4,1,Moderate,Close,new,22
138,3004479020,WS500044A,SUB,Punggol,14/3/2017,20/5/2017,68,2.67,Severe,Close,new,60
139,3004479091,WS500068A,SUB,Punggol,9/3/2016,20/4/2016,43,14.67,Critical,Close,new,329
140,3004479207,WS500015A,SUB,Punggol,21/3/2016,25/3/2016,5,12,Critical,Close,new,269
141,3004479207,WS500015A,SUB,Punggol,29/3/2016,17/4/2016,20,12,Critical,Close,new,269
142,3004479207,WS500015A,SUB,Punggol,8/5/2016,13/5/2016,6,12,Critical,Close,new,269
143,3004479266,WS500027A,SUB,Punggol,14/3/2016,2/5/2016,50,30.67,Critical,Close,new,688
144,3004479278,WS500033A,SUB,Punggol,2/5/2017,1/6/2017,31,1,Severe,Close,new,22
145,3004479278,WS500033A,SUB,Punggol,22/6/2017,28/6/2017,7,2,Severe,Close,new,45
146,3004479303,WS500039A,SUB,Punggol,22/10/2017,26/10/2017,5,4,Severe,Close,new,90
147,3004479342,WS500051A,SUB,Punggol,16/10/2016,24/10/2016,9,1.33,Severe,Close,new,30
148,3004479342,WS500051A,SUB,Punggol,7/11/2016,10/11/2016,4,1.33,Moderate,Close,new,30
149,3004479342,WS500051A,SUB,Punggol,14/11/2016,19/11/2016,6,1.33,Severe,Close,new,30
150,3004479342,WS500051A,SUB,Punggol,1/12/2016,25/2/2017,87,2,Severe,Close,new,45
151,3004479342,WS500051A,SUB,Punggol,7/5/2017,10/5/2017,4,1,Moderate,Close,new,22
152,3004479342,WS500051A,SUB,Punggol,13/5/2017,16/5/2017,4,1,Moderate,Close,new,22
153,3004479342,WS500051A,SUB,Punggol,14/6/2017,18/6/2017,5,1,Severe,Close,new,22
154,3004479342,WS500051A,SUB,Punggol,21/6/2017,29/6/2017,9,1,Severe,Close,new,22
155,3004479342,WS500051A,SUB,Punggol,4/9/2017,11/9/2017,8,1,Severe,Close,new,22
156,3004479342,WS500051A,SUB,Punggol,17/9/2017,17/10/2017,31,1,Severe,Close,new,22
157,3004479342,WS500051A,SUB,Punggol,25/10/2017,26/11/2017,33,1.33,Severe,Close,new,30
158,3004479481,WS500081A,SUB,Punggol,8/3/2016,21/4/2016,45,47.33,Critical,Close,new,1061
159,3004479661,WS500034A,SUB,Punggol,8/3/2016,1/5/2016,55,29.67,Critical,Close,new,665
160,3004479661,WS500034A,SUB,Punggol,16/1/2017,27/2/2017,43,7,Severe,Close,new,157
161,3004479661,WS500034A,SUB,Punggol,29/6/2017,12/7/2017,14,2,Severe,Close,new,45
162,3004479690,WS500040A,SUB,Punggol,12/12/2016,17/12/2016,6,7,Severe,Close,new,157
163,3004479690,WS500040A,SUB,Punggol,11/2/2017,14/2/2017,4,1,Moderate,Close,new,22
164,3004479721,WS500046A,SUB,Punggol,12/3/2016,26/3/2016,15,5.67,Severe,Close,new,127
165,3004479721,WS500046A,SUB,Punggol,3/4/2016,12/2/2017,316,5,Severe,Close,new,112
166,3004479816,WS500082A,SUB,Punggol,2/8/2017,6/8/2017,5,1,Severe,Close,new,22
167,3004479870,WS500011A,SUB,Punggol,26/2/2017,8/3/2017,11,1,Severe,Close,new,22
168,3004479870,WS500011A,SUB,Punggol,25/6/2017,24/7/2017,30,2,Severe,Close,new,45
169,3004479870,WS500011A,SUB,Punggol,27/7/2017,4/9/2017,40,2.67,Severe,Close,new,60
170,3004479927,WS500035A,SUB,Punggol,31/12/2016,5/1/2017,6,3,Severe,Close,new,67
171,3004479927,WS500035A,SUB,Punggol,8/2/2017,14/2/2017,7,1,Severe,Close,new,22
172,3004479927,WS500035A,SUB,Punggol,18/2/2017,22/2/2017,5,2,Severe,Close,new,45
173,3004479927,WS500035A,SUB,Punggol,4/3/2017,13/3/2017,10,2,Severe,Close,new,45
174,3004479927,WS500035A,SUB,Punggol,3/4/2017,6/4/2017,4,1,Moderate,Close,new,22
175,3004479927,WS500035A,SUB,Punggol,24/6/2017,29/6/2017,6,1,Severe,Close,new,22
176,3004479975,WS500047A,SUB,Punggol,26/5/2016,29/5/2016,4,3.33,Moderate,Close,new,75
177,3004479975,WS500047A,SUB,Punggol,16/8/2016,14/10/2016,60,2.67,Severe,Close,new,60
178,3004479975,WS500047A,SUB,Punggol,28/10/2016,11/12/2016,45,2,Severe,Close,new,45
179,3004480168,WS500018A,SUB,Punggol,21/5/2016,24/5/2016,4,1,Moderate,Close,new,22
180,3004480168,WS500018A,SUB,Punggol,27/5/2016,2/7/2016,37,1.67,Severe,Close,new,37
181,3004480243,WS500042A,SUB,Punggol,28/2/2017,27/5/2017,89,1,Severe,Close,new,22
182,3004480369,WS500078A,SUB,Punggol,12/6/2017,21/7/2017,40,2.67,Severe,Close,new,60
183,3004480369,WS500078A,SUB,Punggol,1/8/2017,9/8/2017,9,1.33,Severe,Close,new,30
184,3004480369,WS500078A,SUB,Punggol,30/8/2017,4/9/2017,6,1,Severe,Close,new,22
185,3004520724,WS500110A,SUB,Punggol,9/3/2016,27/4/2016,50,30.67,Critical,Close,new,688
186,3004521017,WS500099A,SUB,Punggol,8/3/2016,19/4/2016,43,37.67,Critical,Close,new,845
187,3004521048,WS500111A,SUB,Punggol,12/2/2017,1/3/2017,18,3,Severe,Close,new,67
188,3004521048,WS500111A,SUB,Punggol,22/10/2017,25/10/2017,4,1.33,Moderate,Close,new,30
189,3004521061,WS500117A,SUB,Punggol,24/4/2016,13/5/2016,20,1.33,Severe,Close,new,30
190,3004521061,WS500117A,SUB,Punggol,22/8/2016,11/9/2016,21,15.33,Critical,Close,new,344
191,3004521061,WS500117A,SUB,Punggol,23/4/2017,1/5/2017,9,4,Severe,Close,new,90
192,3004521085,WS500123A,SUB,Punggol,5/1/2017,8/1/2017,4,4,Moderate,Close,new,90
193,3004521085,WS500123A,SUB,Punggol,28/9/2017,13/10/2017,16,1,Severe,Close,new,22
194,3004521109,WS500135A,SUB,Punggol,19/4/2016,18/6/2016,61,8.33,Severe,Close,new,187
195,3004521109,WS500135A,SUB,Punggol,6/9/2016,14/9/2016,9,2.67,Severe,Close,new,60
196,3004521109,WS500135A,SUB,Punggol,17/11/2016,23/2/2017,99,5,Severe,Close,new,112
197,3004521109,WS500135A,SUB,Punggol,6/9/2017,26/11/2017,82,96.67,Critical,Close,new,2168
198,3004521137,WS500147A,SUB,Punggol,14/8/2017,25/8/2017,12,3.33,Severe,Close,new,75
199,3004521172,WS500159A,SUB,Punggol,15/3/2016,21/4/2016,38,9,Severe,Close,new,202
200,3004521189,WS500165A,SUB,Punggol,15/3/2016,28/3/2016,14,4,Severe,Close,new,90
201,3004521189,WS500165A,SUB,Punggol,10/6/2016,15/6/2016,6,1.67,Severe,Close,new,37
202,3004521189,WS500165A,SUB,Punggol,18/6/2016,26/6/2016,9,1.33,Severe,Close,new,30
203,3004521189,WS500165A,SUB,Punggol,21/7/2016,12/8/2016,23,3.33,Severe,Close,new,75
204,3004521189,WS500165A,SUB,Punggol,15/8/2016,21/9/2016,38,2,Severe,Close,new,45
205,3004521189,WS500165A,SUB,Punggol,30/10/2016,27/2/2017,121,5.33,Severe,Close,new,120
206,3004521247,WS500096A,SUB,Punggol,23/8/2017,27/8/2017,5,2.67,Severe,Close,new,60
207,3004521276,WS500106A,SUB,Punggol,30/10/2016,25/11/2016,27,2,Severe,Close,new,45
208,3004521276,WS500106A,SUB,Punggol,29/11/2016,21/12/2016,23,1,Severe,Close,new,22
209,3004521276,WS500106A,SUB,Punggol,9/1/2017,28/1/2017,20,1.33,Severe,Close,new,30
210,3004521276,WS500106A,SUB,Punggol,4/2/2017,13/2/2017,10,2,Severe,Close,new,45
211,3004521276,WS500106A,SUB,Punggol,19/2/2017,19/3/2017,29,1.67,Severe,Close,new,37
212,3004521276,WS500106A,SUB,Punggol,2/4/2017,12/4/2017,11,4.33,Severe,Close,new,97
213,3004521276,WS500106A,SUB,Punggol,30/5/2017,3/6/2017,5,3.33,Severe,Close,new,75
214,3004521285,WS500112A,SUB,Punggol,15/10/2016,18/10/2016,4,2,Moderate,Close,new,45
215,3004521285,WS500112A,SUB,Punggol,12/12/2016,26/1/2017,46,2,Severe,Close,new,45
216,3004521473,WS500166A,SUB,Punggol,8/3/2016,13/5/2016,67,10.33,Critical,Close,new,232
217,3004521507,WS500178A,SUB,Punggol,12/3/2016,28/4/2016,48,6,Severe,Close,new,135
218,3004521507,WS500178A,SUB,Punggol,2/6/2016,9/6/2016,8,1.33,Severe,Close,new,30
219,3004521507,WS500178A,SUB,Punggol,13/6/2016,17/6/2016,5,1,Severe,Close,new,22
220,3004521507,WS500178A,SUB,Punggol,20/6/2016,24/6/2016,5,3.33,Severe,Close,new,75
221,3004521507,WS500178A,SUB,Punggol,5/7/2016,16/7/2016,12,4,Severe,Close,new,90
222,3004521507,WS500178A,SUB,Punggol,12/8/2016,18/10/2016,68,1.67,Severe,Close,new,37
223,3004521507,WS500178A,SUB,Punggol,21/10/2016,24/10/2016,4,3.33,Moderate,Close,new,75
224,3004521518,WS500093A,SUB,Punggol,4/12/2016,10/12/2016,7,1,Severe,Close,new,22
225,3004521518,WS500093A,SUB,Punggol,19/12/2016,3/1/2017,16,1.67,Severe,Close,new,37
226,3004521564,WS500101A,SUB,Punggol,9/3/2016,25/3/2016,17,18.67,Critical,Close,new,419
227,3004521564,WS500101A,SUB,Punggol,28/3/2016,20/4/2016,24,21.33,Critical,Close,new,478
228,3004521613,WS500113A,SUB,Punggol,9/3/2016,21/6/2017,470,22.67,Critical,Close,new,508
229,3004521705,WS500143A,SUB,Punggol,27/9/2016,30/9/2016,4,3.67,Moderate,Close,new,82
230,3004521715,WS500149A,SUB,Punggol,8/3/2017,14/3/2017,7,140,Critical,Close,new,3140
231,3004521783,WS500179A,SUB,Punggol,5/5/2016,8/5/2016,4,1.33,Moderate,Close,new,30
232,3004521783,WS500179A,SUB,Punggol,2/6/2016,7/6/2016,6,3,Severe,Close,new,67
233,3004521783,WS500179A,SUB,Punggol,29/6/2016,11/7/2016,13,1.67,Severe,Close,new,37
234,3004521783,WS500179A,SUB,Punggol,19/7/2016,30/7/2016,12,1.33,Severe,Close,new,30
235,3004521783,WS500179A,SUB,Punggol,10/9/2016,13/9/2016,4,7,Moderate,Close,new,157
236,3004521783,WS500179A,SUB,Punggol,28/9/2016,4/10/2016,7,3.33,Severe,Close,new,75
237,3004521783,WS500179A,SUB,Punggol,7/10/2016,19/11/2016,44,4.67,Severe,Close,new,105
238,3004521803,WS500094A,SUB,Punggol,12/3/2016,11/7/2016,122,2.67,Severe,Close,new,60
239,3004521803,WS500094A,SUB,Punggol,19/7/2016,31/3/2017,256,18.33,Critical,Close,new,411
240,3004521803,WS500094A,SUB,Punggol,3/5/2017,20/7/2017,79,22.33,Critical,Close,new,501
241,3004521824,WS500098A,SUB,Punggol,11/5/2016,1/6/2016,22,1,Severe,Close,new,22
242,3004521824,WS500098A,SUB,Punggol,4/6/2016,30/1/2017,241,6.33,Severe,Close,new,142
243,3004521867,WS500108A,SUB,Punggol,24/10/2016,29/10/2016,6,18.33,Critical,Close,new,411
244,3004521931,WS500120A,SUB,Punggol,30/9/2016,17/10/2016,18,3.33,Severe,Close,new,75
245,3004521931,WS500120A,SUB,Punggol,24/10/2016,2/1/2017,71,4.67,Severe,Close,new,105
246,3004521931,WS500120A,SUB,Punggol,6/1/2017,30/1/2017,25,2.67,Severe,Close,new,60
247,3004521979,WS500132A,SUB,Punggol,4/2/2017,27/2/2017,24,3.33,Severe,Close,new,75
248,3004521979,WS500132A,SUB,Punggol,14/10/2017,NA,47,2,Severe,Open,new,45
249,3004522014,WS500144A,SUB,Punggol,5/2/2017,9/2/2017,5,46.33,Critical,Close,new,1039
250,3004522058,WS500162A,SUB,Punggol,2/7/2016,8/7/2016,7,1.67,Severe,Close,new,37
251,3004522216,WS500139A,SUB,Punggol,20/6/2016,2/7/2016,13,2,Severe,Close,new,45
252,3004522216,WS500139A,SUB,Punggol,6/7/2016,20/7/2016,15,3,Severe,Close,new,67
253,3004522229,WS500145A,SUB,Punggol,10/3/2016,18/5/2016,70,5,Severe,Close,new,112
254,3004522229,WS500145A,SUB,Punggol,12/7/2016,17/7/2016,6,6.67,Severe,Close,new,150
255,3004522256,WS500157A,SUB,Punggol,9/4/2016,16/4/2016,8,2,Severe,Close,new,45
256,3004522297,WS500175A,SUB,Punggol,16/5/2016,8/6/2016,24,1.67,Severe,Close,new,37
257,3005448479,WS500309A,SUB,Punggol,1/9/2016,22/9/2016,22,21,Critical,Close,new,471
258,3005448479,WS500309A,SUB,Punggol,30/9/2016,3/10/2016,4,2.67,Moderate,Close,new,60
259,3005448483,WS500315A,SUB,Punggol,10/6/2016,2/7/2016,23,2,Severe,Close,new,45
260,3005448487,WS500321A,SUB,Punggol,14/2/2017,17/2/2017,4,1.67,Moderate,Close,new,37
261,3005448487,WS500321A,SUB,Punggol,4/3/2017,8/3/2017,5,1.33,Severe,Close,new,30
262,3005448487,WS500321A,SUB,Punggol,3/4/2017,24/4/2017,22,2,Severe,Close,new,45
263,3005448487,WS500321A,SUB,Punggol,11/6/2017,27/7/2017,47,3.33,Severe,Close,new,75
264,3005448491,WS500327A,SUB,Punggol,14/10/2017,17/10/2017,4,1,Moderate,Close,new,22
