"service_point_sn","meter_sn","MinCons_60","start_date","end_date","status"
"3004521276","WS500106A",1,2017-08-23,2017-08-26,"Close"
"3004521276","WS500106A",1,2017-09-12,2017-10-12,"Close"
"3004521276","WS500106A",1,2017-11-21,2017-12-05,"Close"
"3004521588","WS500107A",1,2018-04-02,2018-04-14,"Close"
"3004522151","WS500109A",1,2017-10-03,2017-10-08,"Close"
"3004522151","WS500109A",1,2017-12-09,2018-01-01,"Close"
"3004521048","WS500111A",3,2017-02-01,2017-03-21,"Close"
"3004521048","WS500111A",3,2017-09-02,2017-09-05,"Close"
"3004521048","WS500111A",1,2017-09-10,2017-09-16,"Close"
"3004521048","WS500111A",1,2017-09-19,2017-09-22,"Close"
"3004521048","WS500111A",2,2017-10-12,2017-10-25,"Close"
"3004521048","WS500111A",7,2017-11-30,2017-12-04,"Close"
"3004521048","WS500111A",1,2018-02-28,2018-03-14,"Close"
"3004521285","WS500112A",3,2017-01-01,2017-01-25,"Close"
"3004521613","WS500113A",22,2017-01-01,2017-06-20,"Close"
"3004521061","WS500117A",1,2017-03-31,2017-04-03,"Close"
"3004521061","WS500117A",4,2017-04-22,2017-05-03,"Close"
"3004521931","WS500120A",2,2017-01-05,2017-01-30,"Close"
"3004521931","WS500120A",1,2017-12-09,2017-12-13,"Close"
"3004521085","WS500123A",4,2017-01-04,2017-01-08,"Close"
"3004521085","WS500123A",2,2017-09-24,2017-11-01,"Close"
"3004521085","WS500123A",1,2017-12-05,2017-12-08,"Close"
"3004521085","WS500123A",9,2017-12-20,2018-03-23,"Close"
"3004521085","WS500123A",3,2018-04-14,2018-04-22,"Close"
"3004521354","WS500130A",1,2018-05-24,NA,"Open"
"3004521979","WS500132A",1,2017-01-31,2017-03-01,"Close"
"3004521979","WS500132A",1,2017-03-07,2017-03-11,"Close"
"3004521979","WS500132A",1,2017-10-02,2018-01-25,"Close"
"3004521979","WS500132A",45,2018-02-05,2018-02-23,"Close"
"3004521109","WS500135A",4,2017-01-01,2017-02-23,"Close"
"3004521109","WS500135A",1,2017-09-04,2017-11-26,"Close"
"3004521109","WS500135A",4,2018-05-02,2018-05-05,"Close"
"3004522014","WS500144A",46,2017-02-05,2017-02-09,"Close"
"3004521137","WS500147A",1,2017-04-23,2017-04-28,"Close"
"3004521137","WS500147A",3,2017-08-14,2017-08-23,"Close"
"3004521715","WS500149A",142,2017-03-07,2017-03-14,"Close"
"3004520880","WS500152A",9,2018-01-23,2018-01-29,"Close"
"3004520880","WS500152A",11,2018-02-01,2018-02-04,"Close"
"3004521153","WS500153A",5,2017-02-24,2017-02-27,"Close"
"3004522256","WS500157A",5,2017-01-20,2017-02-25,"Close"
"3004522256","WS500157A",2,2017-04-02,2017-04-07,"Close"
"3004522256","WS500157A",2,2017-05-20,2017-05-31,"Close"
"3004522256","WS500157A",3,2017-06-12,2017-06-16,"Close"
"3004522256","WS500157A",8,2017-07-31,2017-08-04,"Close"
"3004522256","WS500157A",3,2017-09-08,2017-09-17,"Close"
"3004522256","WS500157A",1,2017-09-21,2017-09-27,"Close"
"3004522256","WS500157A",4,2017-10-02,2017-10-17,"Close"
"3004522256","WS500157A",1,2017-10-23,2017-11-19,"Close"
"3004522256","WS500157A",4,2017-11-25,2017-12-01,"Close"
"3004522256","WS500157A",4,2017-12-04,2018-04-06,"Close"
"3004522256","WS500157A",4,2018-04-22,2018-05-11,"Close"
"3004522256","WS500157A",1,2018-05-15,2018-05-30,"Close"
"3004522058","WS500162A",1,2017-12-28,2018-01-11,"Close"
"3004522058","WS500162A",2,2018-01-16,2018-01-25,"Close"
"3004520911","WS500164A",1,2017-01-03,2017-02-15,"Close"
"3004520911","WS500164A",1,2017-02-18,2017-02-21,"Close"
"3004520911","WS500164A",2,2017-03-23,2017-03-30,"Close"
"3004520911","WS500164A",1,2017-05-14,2017-05-17,"Close"
"3004520911","WS500164A",1,2017-05-20,2017-05-24,"Close"
"3004520911","WS500164A",1,2017-05-27,2017-05-30,"Close"
"3004520911","WS500164A",1,2017-06-02,2017-09-16,"Close"
"3004520911","WS500164A",2,2017-09-21,2017-10-10,"Close"
"3004520911","WS500164A",2,2017-10-18,2017-10-25,"Close"
"3004520911","WS500164A",2,2017-11-07,2017-11-23,"Close"
"3004520911","WS500164A",19,2017-12-18,2018-02-15,"Close"
"3004521189","WS500165A",10,2017-01-01,2017-02-27,"Close"
"3004521473","WS500166A",1,2017-06-03,2017-06-09,"Close"
"3004522092","WS500168A",2,2017-01-22,2017-01-25,"Close"
"3004522092","WS500168A",3,2017-02-10,2017-02-14,"Close"
"3004522092","WS500168A",10,2017-02-24,2017-03-07,"Close"
"3004522092","WS500168A",1,2017-03-11,2017-04-08,"Close"
"3004522092","WS500168A",1,2017-07-25,2017-07-28,"Close"
"3004522092","WS500168A",1,2017-08-25,2017-08-28,"Close"
"3004522092","WS500168A",1,2017-09-08,2017-11-11,"Close"
"3004522092","WS500168A",1,2017-11-20,2017-11-24,"Close"
"3004522092","WS500168A",2,2017-12-15,2017-12-20,"Close"
"3004522092","WS500168A",1,2018-01-08,2018-01-14,"Close"
"3004522092","WS500168A",1,2018-01-17,2018-01-30,"Close"
"3004522092","WS500168A",3,2018-02-17,2018-02-24,"Close"
"3004522092","WS500168A",3,2018-03-17,2018-03-24,"Close"
"3004522092","WS500168A",1,2018-04-18,2018-04-24,"Close"
"3004522092","WS500168A",2,2018-05-01,2018-05-07,"Close"
"3004522092","WS500168A",1,2018-05-18,2018-05-24,"Close"
"3004522092","WS500168A",1,2018-05-27,NA,"Open"
"3004521205","WS500171A",3,2017-06-27,2017-06-30,"Close"
"3004521205","WS500171A",2,2017-07-07,2017-07-10,"Close"
"3004521205","WS500171A",3,2017-08-24,2017-08-27,"Close"
"3004521205","WS500171A",7,2017-09-28,2017-11-18,"Close"
"3004521205","WS500171A",4,2018-01-11,2018-01-14,"Close"
"3004521205","WS500171A",1,2018-01-26,2018-02-26,"Close"
"3004521205","WS500171A",3,2018-03-09,2018-03-19,"Close"
"3004521205","WS500171A",4,2018-03-22,2018-04-11,"Close"
"3004521205","WS500171A",6,2018-04-14,2018-04-19,"Close"
"3004521205","WS500171A",4,2018-04-22,NA,"Open"
"3004521490","WS500172A",14,2018-01-01,2018-01-08,"Close"
"3004521783","WS500179A",1,2017-05-24,2017-05-27,"Close"
"3004521783","WS500179A",2,2017-08-02,2017-08-05,"Close"
"3004521783","WS500179A",1,2017-09-03,2017-09-06,"Close"
"3004521783","WS500179A",1,2017-09-14,2017-10-01,"Close"
"3004521783","WS500179A",1,2017-10-10,2017-10-16,"Close"
"3004521783","WS500179A",3,2018-01-26,2018-02-05,"Close"
"3004521783","WS500179A",3,2018-03-06,2018-03-12,"Close"
"3004521783","WS500179A",2,2018-05-01,2018-05-09,"Close"
"3100250190","WS500187A",1,2017-02-08,2017-02-22,"Close"
"3100250190","WS500187A",1,2017-04-23,2017-05-02,"Close"
"3100250190","WS500187A",3,2018-03-04,2018-03-15,"Close"
"3100250190","WS500187A",1,2018-05-11,2018-05-14,"Close"
"3100250014","WS500192A",3,2017-11-09,2017-11-12,"Close"
"3100250014","WS500192A",2,2017-11-25,2017-11-29,"Close"
"3100250194","WS500195A",35,2017-10-18,2017-11-09,"Close"
"3100249958","WS500199A",1,2017-07-30,2017-08-12,"Close"
"3100250082","WS500209A",1,2018-02-13,2018-05-14,"Close"
"3100249906","WS500214A",1,2017-10-28,2017-11-03,"Close"
"3100249906","WS500214A",1,2017-11-06,2017-11-13,"Close"
"3100249906","WS500214A",1,2017-12-12,2017-12-24,"Close"
"3100249906","WS500214A",2,2018-04-04,2018-04-08,"Close"
"3100249906","WS500214A",1,2018-04-17,2018-05-10,"Close"
"3100250206","WS500219A",4,2017-11-21,2017-11-24,"Close"
"3100249914","WS500230A",2,2017-01-01,2017-07-02,"Close"
"3100249974","WS500231A",5,2018-03-31,2018-04-09,"Close"
"3100249974","WS500231A",4,2018-04-20,NA,"Open"
"3100250334","WS500237A",8,2018-02-19,2018-03-06,"Close"
"3100250334","WS500237A",5,2018-04-01,2018-04-28,"Close"
"3100250334","WS500237A",2,2018-05-19,2018-05-22,"Close"
"3100249918","WS500238A",2,2017-06-19,2017-06-23,"Close"
"3100249918","WS500238A",1,2017-07-18,2017-07-21,"Close"
"3100249918","WS500238A",1,2017-07-31,2017-08-09,"Close"
"3100249978","WS500239A",4,2017-04-26,2017-05-03,"Close"
"3100249978","WS500239A",2,2017-10-24,2017-10-31,"Close"
"3100249978","WS500239A",36,2017-11-13,2017-11-16,"Close"
"3100249978","WS500239A",2,2018-01-08,2018-01-22,"Close"
"3100250338","WS500245A",3,2018-03-29,2018-04-30,"Close"
"3100250222","WS500251A",5,2017-08-04,2017-08-07,"Close"
"3100250222","WS500251A",283,2017-09-13,2017-09-16,"Close"
"3100249926","WS500254A",2,2017-07-08,2017-07-16,"Close"
"3100249926","WS500254A",1,2017-08-10,2017-08-24,"Close"
"3100249926","WS500254A",4,2017-08-30,2017-10-17,"Close"
"3100249926","WS500254A",5,2017-10-21,2017-11-14,"Close"
"3100249926","WS500254A",2,2017-11-17,2017-12-01,"Close"
"3100249926","WS500254A",4,2018-01-04,2018-01-13,"Close"
"3100249926","WS500254A",4,2018-01-18,2018-02-24,"Close"
"3100249926","WS500254A",2,2018-02-27,NA,"Open"
"3100250046","WS500256A",2,2017-07-23,2017-07-26,"Close"
"3100250046","WS500256A",3,2017-12-17,2017-12-25,"Close"
"3100250106","WS500257A",6,2017-01-08,2017-01-22,"Close"
"3100250106","WS500257A",6,2017-02-13,2017-02-17,"Close"
"3100250106","WS500257A",12,2017-04-10,2017-05-25,"Close"
"3100250106","WS500257A",5,2017-06-07,2017-06-11,"Close"
"3100250106","WS500257A",5,2017-06-29,2017-07-23,"Close"
"3100250106","WS500257A",13,2017-07-29,2017-08-12,"Close"
"3100250106","WS500257A",1,2017-08-27,2017-09-26,"Close"
"3100250106","WS500257A",4,2017-11-10,2017-11-14,"Close"
"3100250106","WS500257A",2,2018-02-18,2018-04-02,"Close"
"3100249930","WS500262A",1,2017-11-21,2017-11-24,"Close"
"3100249930","WS500262A",1,2017-12-02,2017-12-12,"Close"
"3100249930","WS500262A",11,2017-12-27,2018-01-16,"Close"
"3100249930","WS500262A",2,2018-01-20,2018-01-28,"Close"
"3100249930","WS500262A",2,2018-01-31,NA,"Open"
"3100249934","WS500270A",1,2017-09-21,2017-12-13,"Close"
"3100250054","WS500272A",1,2017-02-12,2017-02-25,"Close"
"3100250054","WS500272A",1,2017-02-28,2017-03-03,"Close"
"3100250054","WS500272A",2,2017-05-26,2017-05-31,"Close"
"3100250054","WS500272A",2,2017-06-08,2017-06-11,"Close"
"3100250054","WS500272A",1,2017-06-16,2017-07-01,"Close"
"3100250054","WS500272A",3,2017-07-27,2017-08-16,"Close"
"3100250054","WS500272A",1,2017-09-08,2017-09-17,"Close"
"3100250054","WS500272A",1,2017-10-03,2017-10-06,"Close"
"3100250054","WS500272A",2,2017-10-28,2017-10-31,"Close"
"3100250054","WS500272A",1,2017-12-01,2017-12-04,"Close"
"3100250054","WS500272A",1,2017-12-26,2018-01-02,"Close"
"3100250054","WS500272A",2,2018-01-05,2018-01-08,"Close"
"3100250054","WS500272A",1,2018-02-06,2018-02-09,"Close"
"3100250054","WS500272A",3,2018-02-22,2018-03-02,"Close"
"3100250054","WS500272A",3,2018-03-06,2018-03-09,"Close"
"3100250054","WS500272A",1,2018-05-03,2018-05-08,"Close"
"3100249998","WS500279A",1,2017-07-08,2017-07-15,"Close"
"3100249998","WS500279A",3,2017-07-18,NA,"Open"
"3100250118","WS500281A",2,2017-08-14,2017-09-01,"Close"
"3100250178","WS500282A",1,2017-01-12,2017-01-30,"Close"
"3100250178","WS500282A",2,2017-02-19,2017-02-22,"Close"
"3100250178","WS500282A",1,2017-02-27,2017-03-11,"Close"
"3100250178","WS500282A",5,2017-03-15,2017-04-21,"Close"
"3100250178","WS500282A",1,2017-05-05,2018-01-01,"Close"
"3100250178","WS500282A",4,2018-01-15,2018-04-09,"Close"
"3100249942","WS500286A",2,2018-05-28,NA,"Open"
"3100250182","WS500290A",41,2018-04-28,2018-05-07,"Close"
"3100250362","WS500293A",1,2017-08-12,2017-09-23,"Close"
"3100250306","WS500300A",1,2017-02-03,2017-06-18,"Close"
"3100250306","WS500300A",3,2017-07-08,2017-12-06,"Close"
"3100250306","WS500300A",1,2017-12-17,2018-01-06,"Close"
"3100250306","WS500300A",1,2018-01-17,2018-02-21,"Close"
"3100250306","WS500300A",1,2018-02-24,2018-03-09,"Close"
"3100250306","WS500300A",2,2018-03-12,2018-03-19,"Close"
"3100250306","WS500300A",1,2018-03-22,2018-03-29,"Close"
"3100250306","WS500300A",1,2018-04-10,2018-04-28,"Close"
"3100250306","WS500300A",1,2018-05-04,NA,"Open"
"3005448539","WS500304A",10,2017-09-25,2017-09-28,"Close"
"3005448675","WS500318A",2,2018-05-02,2018-05-08,"Close"
"3005448487","WS500321A",2,2017-02-06,2017-02-19,"Close"
"3005448487","WS500321A",2,2017-03-03,2017-03-07,"Close"
"3005448487","WS500321A",2,2017-04-02,2017-04-24,"Close"
"3005448487","WS500321A",2,2017-06-04,2017-07-26,"Close"
"3005448551","WS500322A",2,2017-01-03,2017-01-08,"Close"
"3005448551","WS500322A",1,2017-01-11,2017-01-21,"Close"
"3005448551","WS500322A",2,2017-01-26,2017-01-30,"Close"
"3005448551","WS500322A",2,2017-02-03,2017-02-07,"Close"
"3005448551","WS500322A",1,2017-02-20,2017-02-24,"Close"
"3005448551","WS500322A",1,2017-03-05,2017-03-08,"Close"
"3005448551","WS500322A",2,2017-10-19,2017-10-24,"Close"
"3005448551","WS500322A",1,2018-04-20,2018-04-26,"Close"
"3005448491","WS500327A",3,2017-10-13,2017-10-21,"Close"
"3005448491","WS500327A",1,2017-10-24,2017-10-30,"Close"
"3005448491","WS500327A",2,2017-11-13,2017-11-18,"Close"
"3005448763","WS500355A",1,2017-03-15,2017-03-18,"Close"
"3005448763","WS500355A",2,2017-07-19,2017-07-22,"Close"
"3005448763","WS500355A",1,2017-09-12,2017-09-19,"Close"
"3005448763","WS500355A",2,2017-11-28,2017-12-01,"Close"
"3005448763","WS500355A",3,2018-02-06,2018-02-10,"Close"
"3005448763","WS500355A",3,2018-02-21,2018-02-24,"Close"
"3005448763","WS500355A",1,2018-03-06,2018-03-09,"Close"
"3005448763","WS500355A",2,2018-03-14,2018-03-17,"Close"
"3005448763","WS500355A",1,2018-04-03,2018-04-06,"Close"
"3005448763","WS500355A",1,2018-04-10,2018-04-14,"Close"
"3005448763","WS500355A",3,2018-04-30,2018-05-03,"Close"
"3005448763","WS500355A",4,2018-05-28,NA,"Open"
"3005448643","WS500365A",7,2017-01-20,2017-01-25,"Close"
"3005448647","WS500371A",4,2017-12-29,2018-01-06,"Close"
"3005448719","WS500384A",1,2018-05-01,2018-05-10,"Close"
"3005448783","WS500385A",2,2018-05-01,2018-05-10,"Close"
"3005448467","WS500386A",1,2017-05-02,2017-05-10,"Close"
"3100159479","WS500398A",1,2018-02-17,2018-02-24,"Close"
"3100159955","WS500412A",1,2017-06-18,2017-06-27,"Close"
"3100159955","WS500412A",1,2017-10-02,2017-10-08,"Close"
"3100159955","WS500412A",3,2017-11-07,2017-12-23,"Close"
"3100159955","WS500412A",6,2018-01-03,2018-02-13,"Close"
"3100159955","WS500412A",8,2018-02-23,2018-02-26,"Close"
"3100159955","WS500412A",6,2018-03-01,2018-05-01,"Close"
"3100159487","WS500413A",1,2017-08-29,2017-09-12,"Close"
"3100159487","WS500413A",1,2017-09-21,2017-09-25,"Close"
"3100159487","WS500413A",1,2018-03-17,2018-03-20,"Close"
"3100159823","WS500418A",1,2017-05-09,2017-05-24,"Close"
"3100159959","WS500420A",9,2017-03-13,2017-04-16,"Close"
"3100159959","WS500420A",1,2017-04-19,2017-04-22,"Close"
"3100159491","WS500421A",1,2017-01-01,2017-01-19,"Close"
"3100159491","WS500421A",1,2017-01-23,2017-04-12,"Close"
"3100159491","WS500421A",2,2017-04-19,2017-05-04,"Close"
"3100159491","WS500421A",2,2017-05-07,2017-06-14,"Close"
"3100159491","WS500421A",1,2017-06-19,2017-06-30,"Close"
"3100159491","WS500421A",1,2017-07-12,2017-08-08,"Close"
"3100159491","WS500421A",1,2017-08-13,2017-09-11,"Close"
"3100159491","WS500421A",1,2017-10-06,2017-10-20,"Close"
"3100159491","WS500421A",1,2017-11-06,2017-11-18,"Close"
"3100159491","WS500421A",1,2017-11-21,2017-11-29,"Close"
"3100159491","WS500421A",2,2017-12-18,2018-01-04,"Close"
"3100159491","WS500421A",2,2018-01-15,2018-02-06,"Close"
"3100159491","WS500421A",1,2018-02-09,2018-02-22,"Close"
"3100159491","WS500421A",1,2018-03-02,2018-03-18,"Close"
"3100159491","WS500421A",1,2018-03-29,2018-04-03,"Close"
"3100159491","WS500421A",2,2018-04-07,2018-04-15,"Close"
"3100159491","WS500421A",1,2018-04-18,NA,"Open"
"3100159963","WS500428A",2,2017-01-14,2017-01-18,"Close"
"3100159963","WS500428A",51,2017-05-05,2017-05-08,"Close"
"3100159495","WS500429A",5,2017-09-11,2017-09-26,"Close"
"3100159971","WS500444A",1,2017-08-06,2017-08-11,"Close"
"3100159507","WS500453A",1,2018-05-19,NA,"Open"
"3100159643","WS500463A",4,2017-01-01,2017-01-09,"Close"
"3100159643","WS500463A",1,2017-11-03,2017-11-08,"Close"
"3100159643","WS500463A",1,2017-11-16,2017-11-19,"Close"
"3100159643","WS500463A",1,2017-12-22,2017-12-25,"Close"
"3100159643","WS500463A",1,2017-12-28,2018-01-02,"Close"
"3100159643","WS500463A",1,2018-01-31,2018-02-08,"Close"
"3100159643","WS500463A",1,2018-02-19,2018-02-28,"Close"
"3100159643","WS500463A",1,2018-03-08,NA,"Open"
"3100159915","WS500467A",1,2017-01-16,2017-01-24,"Close"
"3100159915","WS500467A",1,2017-02-24,2017-03-15,"Close"
"3100159915","WS500467A",1,2017-03-27,2017-03-30,"Close"
"3100159851","WS500474A",1,2017-06-18,2017-06-23,"Close"
"3100159851","WS500474A",1,2017-07-01,2017-07-06,"Close"
"3100159523","WS500485A",1,2018-05-20,2018-05-23,"Close"
"3100159807","WS500521A",1,2017-10-30,2017-11-10,"Close"
"3100159807","WS500521A",10,2017-11-14,2017-12-05,"Close"
"3100159543","WS500525A",1,2017-08-26,2017-08-29,"Close"
"3100159543","WS500525A",1,2017-09-07,2017-09-10,"Close"
"3005448523","ws500535a",2,2018-05-23,2018-05-26,"Close"
"3100249986","WS500541A",5,2018-04-23,2018-04-26,"Close"
