"","service_point_sn","meter_sn","MinCons_60","start_date","end_date","status"
"212","3100159495","WS500429A",6,2017-09-14,2017-09-29,"Close"
"213","3100159967","WS500436A",1,2016-10-07,2016-10-15,"Close"
"214","3100159643","WS500463A",1,2016-12-08,2016-12-12,"Close"
"215","3100159643","WS500463A",3,2017-01-04,2017-01-13,"Close"
"216","3100159915","WS500467A",1,2016-04-01,2016-11-16,"Close"
"217","3100159915","WS500467A",1,2016-11-25,2016-12-01,"Close"
"218","3100159915","WS500467A",1,2016-12-15,2017-01-09,"Close"
"219","3100159915","WS500467A",2,2017-01-19,2017-01-27,"Close"
"220","3100159915","WS500467A",1,2017-02-27,2017-03-18,"Close"
"221","3100159851","WS500474A",1,2017-07-04,2017-07-23,"Close"
"222","3100159807","WS500521A",9,2017-11-17,2018-01-01,"Close"
